pid,did,pro_time
112,11,20
118,8,12
34,4,11
90,5,15
38,2,16
90,1,15
82,1,19
11,14,17
52,12,15
65,9,20
146,11,19
9,6,19
28,5,20
150,4,11
55,11,20
105,6,14
60,8,19
18,6,16
87,6,20
154,6,13
2,11,10
44,0,18
35,7,11
109,0,17
61,5,14
129,0,12
69,5,18
124,0,17
135,5,15
153,0,14
132,2,13
159,1,17
76,0,14
77,10,11
80,7,15
78,3,11
98,7,19
54,13,14
127,12,12
36,13,16
51,11,16
42,4,13
110,13,13
31,9,20
108,14,18
109,6,19
48,8,18
143,2,15
5,6,13
20,7,20
53,13,17
120,7,14
85,3,13
13,6,14
49,8,10
10,0,19
43,14,12
56,0,18
151,4,11
115,0,12
17,5,20
116,5,15
141,6,16
63,6,20
6,5,10
85,8,20
24,9,10
104,7,11
66,6,10
156,9,18
113,7,11
139,6,15
45,1,14
8,9,17
131,5,15
117,7,13
155,8,20
94,8,13
144,7,19
57,13,19
101,8,18
95,4,14
12,3,18
25,14,19
145,14,13
93,10,11
19,11,12
126,1,12
14,5,18
142,8,17
84,12,15
91,13,16
96,6,12
147,1,15
121,0,11
62,11,14
16,9,14
59,1,19
24,7,14
22,13,15
27,0,15
136,13,12
95,8,12
86,5,19
137,7,18
157,2,19
114,9,11
40,10,18
72,0,11
74,13,20
21,9,20
63,5,19
106,7,10
33,1,20
36,5,19
149,0,19
79,9,15
39,12,12
26,4,16
29,9,11
99,2,11
23,1,18
122,9,18
88,10,11
98,14,13
0,1,19
81,1,13
41,10,11
67,2,16
36,4,14
37,9,14
1,9,19
152,13,10
128,1,12
100,11,20
70,2,20
4,12,17
92,13,15
15,10,18
73,13,17
123,4,10
140,11,14
85,13,15
89,3,16
102,1,14
133,8,15
47,12,17
75,14,11
2,7,15
130,14,14
140,14,16
7,10,18
47,10,10
7,2,13
98,2,12
138,12,17
148,8,12
46,4,13
157,8,20
68,10,19
83,2,14
41,3,13
71,3,14
30,3,19
58,12,14
107,4,20
97,2,17
152,4,13
103,14,19
134,2,15
64,3,13
111,4,11
71,2,20
3,12,15
50,14,14
125,12,11
125,10,13
64,4,15
68,11,17
32,12,14
64,14,11
32,3,15
158,12,17
122,11,10
134,12,20
7,14,18
119,11,18
119,10,18
4,10,10
