d_idle,p_idle,idle,total_d,total_p,total,ep
31.0,333.0,364.0,1212.0,742.0,1954.0,1
15.0,262.0,277.0,1196.0,671.0,1867.0,2
25.0,426.0,451.0,1206.0,835.0,2041.0,3
49.0,322.0,371.0,1230.0,731.0,1961.0,4
47.0,411.0,458.0,1228.0,820.0,2048.0,5
27.0,234.0,261.0,1208.0,643.0,1851.0,6
33.0,289.0,322.0,1214.0,698.0,1912.0,7
27.0,481.0,508.0,1208.0,890.0,2098.0,8
17.0,250.0,267.0,1198.0,659.0,1857.0,9
33.0,186.0,219.0,1214.0,595.0,1809.0,10
31.0,291.0,322.0,1212.0,700.0,1912.0,11
51.0,286.0,337.0,1232.0,695.0,1927.0,12
10.0,372.0,382.0,1191.0,781.0,1972.0,13
34.0,223.0,257.0,1215.0,632.0,1847.0,14
15.0,392.0,407.0,1196.0,801.0,1997.0,15
36.0,421.0,457.0,1217.0,830.0,2047.0,16
34.0,409.0,443.0,1215.0,818.0,2033.0,17
23.0,330.0,353.0,1204.0,739.0,1943.0,18
54.0,364.0,418.0,1235.0,773.0,2008.0,19
31.0,362.0,393.0,1212.0,771.0,1983.0,20
31.0,326.0,357.0,1212.0,735.0,1947.0,21
30.0,319.0,349.0,1211.0,728.0,1939.0,22
22.0,381.0,403.0,1203.0,790.0,1993.0,23
33.0,359.0,392.0,1214.0,768.0,1982.0,24
42.0,347.0,389.0,1223.0,756.0,1979.0,25
26.0,367.0,393.0,1207.0,776.0,1983.0,26
19.0,237.0,256.0,1200.0,646.0,1846.0,27
20.0,353.0,373.0,1201.0,762.0,1963.0,28
49.0,388.0,437.0,1230.0,797.0,2027.0,29
67.0,322.0,389.0,1248.0,731.0,1979.0,30
13.0,377.0,390.0,1194.0,786.0,1980.0,31
32.0,359.0,391.0,1213.0,768.0,1981.0,32
17.0,202.0,219.0,1198.0,611.0,1809.0,33
93.0,307.0,400.0,1274.0,716.0,1990.0,34
35.0,419.0,454.0,1216.0,828.0,2044.0,35
22.0,219.0,241.0,1203.0,628.0,1831.0,36
11.0,282.0,293.0,1192.0,691.0,1883.0,37
18.0,178.0,196.0,1199.0,587.0,1786.0,38
55.0,286.0,341.0,1236.0,695.0,1931.0,39
31.0,329.0,360.0,1212.0,738.0,1950.0,40
31.0,284.0,315.0,1212.0,693.0,1905.0,41
26.0,305.0,331.0,1207.0,714.0,1921.0,42
38.0,369.0,407.0,1219.0,778.0,1997.0,43
40.0,312.0,352.0,1221.0,721.0,1942.0,44
39.0,391.0,430.0,1220.0,800.0,2020.0,45
32.0,389.0,421.0,1213.0,798.0,2011.0,46
43.0,277.0,320.0,1224.0,686.0,1910.0,47
75.0,372.0,447.0,1256.0,781.0,2037.0,48
22.0,362.0,384.0,1203.0,771.0,1974.0,49
53.0,187.0,240.0,1234.0,596.0,1830.0,50
26.0,331.0,357.0,1207.0,740.0,1947.0,51
38.0,294.0,332.0,1219.0,703.0,1922.0,52
12.0,408.0,420.0,1193.0,817.0,2010.0,53
29.0,317.0,346.0,1210.0,726.0,1936.0,54
36.0,289.0,325.0,1217.0,698.0,1915.0,55
49.0,443.0,492.0,1230.0,852.0,2082.0,56
6.0,356.0,362.0,1187.0,765.0,1952.0,57
49.0,327.0,376.0,1230.0,736.0,1966.0,58
42.0,320.0,362.0,1223.0,729.0,1952.0,59
49.0,265.0,314.0,1230.0,674.0,1904.0,60
46.0,190.0,236.0,1227.0,599.0,1826.0,61
30.0,220.0,250.0,1211.0,629.0,1840.0,62
33.0,340.0,373.0,1214.0,749.0,1963.0,63
33.0,376.0,409.0,1214.0,785.0,1999.0,64
21.0,356.0,377.0,1202.0,765.0,1967.0,65
48.0,431.0,479.0,1229.0,840.0,2069.0,66
41.0,340.0,381.0,1222.0,749.0,1971.0,67
51.0,190.0,241.0,1232.0,599.0,1831.0,68
22.0,275.0,297.0,1203.0,684.0,1887.0,69
39.0,462.0,501.0,1220.0,871.0,2091.0,70
35.0,328.0,363.0,1216.0,737.0,1953.0,71
19.0,239.0,258.0,1200.0,648.0,1848.0,72
21.0,136.0,157.0,1202.0,545.0,1747.0,73
37.0,291.0,328.0,1218.0,700.0,1918.0,74
32.0,381.0,413.0,1213.0,790.0,2003.0,75
55.0,207.0,262.0,1236.0,616.0,1852.0,76
76.0,254.0,330.0,1257.0,663.0,1920.0,77
15.0,386.0,401.0,1196.0,795.0,1991.0,78
30.0,326.0,356.0,1211.0,735.0,1946.0,79
36.0,333.0,369.0,1217.0,742.0,1959.0,80
28.0,521.0,549.0,1209.0,930.0,2139.0,81
8.0,435.0,443.0,1189.0,844.0,2033.0,82
85.0,315.0,400.0,1266.0,724.0,1990.0,83
11.0,233.0,244.0,1192.0,642.0,1834.0,84
16.0,272.0,288.0,1197.0,681.0,1878.0,85
7.0,319.0,326.0,1188.0,728.0,1916.0,86
42.0,325.0,367.0,1223.0,734.0,1957.0,87
29.0,459.0,488.0,1210.0,868.0,2078.0,88
31.0,384.0,415.0,1212.0,793.0,2005.0,89
30.0,357.0,387.0,1211.0,766.0,1977.0,90
39.0,427.0,466.0,1220.0,836.0,2056.0,91
18.0,383.0,401.0,1199.0,792.0,1991.0,92
24.0,418.0,442.0,1205.0,827.0,2032.0,93
50.0,313.0,363.0,1231.0,722.0,1953.0,94
30.0,245.0,275.0,1211.0,654.0,1865.0,95
12.0,316.0,328.0,1193.0,725.0,1918.0,96
30.0,246.0,276.0,1211.0,655.0,1866.0,97
77.0,224.0,301.0,1258.0,633.0,1891.0,98
32.0,293.0,325.0,1213.0,702.0,1915.0,99
42.0,377.0,419.0,1223.0,786.0,2009.0,100
57.0,355.0,412.0,1238.0,764.0,2002.0,101
