d_idle,p_idle,idle,total_d,total_p,total,ep
25.0,309.0,334.0,1206.0,718.0,1924.0,1
50.0,207.0,257.0,1231.0,616.0,1847.0,2
25.0,372.0,397.0,1206.0,781.0,1987.0,3
58.0,435.0,493.0,1239.0,844.0,2083.0,4
25.0,389.0,414.0,1206.0,798.0,2004.0,5
30.0,380.0,410.0,1211.0,789.0,2000.0,6
57.0,292.0,349.0,1238.0,701.0,1939.0,7
31.0,276.0,307.0,1212.0,685.0,1897.0,8
21.0,383.0,404.0,1202.0,792.0,1994.0,9
43.0,304.0,347.0,1224.0,713.0,1937.0,10
39.0,380.0,419.0,1220.0,789.0,2009.0,11
55.0,342.0,397.0,1236.0,751.0,1987.0,12
40.0,297.0,337.0,1221.0,706.0,1927.0,13
62.0,304.0,366.0,1243.0,713.0,1956.0,14
55.0,259.0,314.0,1236.0,668.0,1904.0,15
60.0,209.0,269.0,1241.0,618.0,1859.0,16
31.0,212.0,243.0,1212.0,621.0,1833.0,17
41.0,497.0,538.0,1222.0,906.0,2128.0,18
29.0,281.0,310.0,1210.0,690.0,1900.0,19
35.0,300.0,335.0,1216.0,709.0,1925.0,20
44.0,382.0,426.0,1225.0,791.0,2016.0,21
15.0,236.0,251.0,1196.0,645.0,1841.0,22
27.0,225.0,252.0,1208.0,634.0,1842.0,23
13.0,325.0,338.0,1194.0,734.0,1928.0,24
8.0,306.0,314.0,1189.0,715.0,1904.0,25
27.0,327.0,354.0,1208.0,736.0,1944.0,26
31.0,319.0,350.0,1212.0,728.0,1940.0,27
46.0,328.0,374.0,1227.0,737.0,1964.0,28
58.0,350.0,408.0,1239.0,759.0,1998.0,29
49.0,232.0,281.0,1230.0,641.0,1871.0,30
17.0,317.0,334.0,1198.0,726.0,1924.0,31
41.0,312.0,353.0,1222.0,721.0,1943.0,32
13.0,369.0,382.0,1194.0,778.0,1972.0,33
21.0,334.0,355.0,1202.0,743.0,1945.0,34
50.0,253.0,303.0,1231.0,662.0,1893.0,35
29.0,404.0,433.0,1210.0,813.0,2023.0,36
34.0,356.0,390.0,1215.0,765.0,1980.0,37
21.0,383.0,404.0,1202.0,792.0,1994.0,38
43.0,391.0,434.0,1224.0,800.0,2024.0,39
58.0,365.0,423.0,1239.0,774.0,2013.0,40
25.0,279.0,304.0,1206.0,688.0,1894.0,41
35.0,266.0,301.0,1216.0,675.0,1891.0,42
45.0,215.0,260.0,1226.0,624.0,1850.0,43
97.0,366.0,463.0,1278.0,775.0,2053.0,44
27.0,397.0,424.0,1208.0,806.0,2014.0,45
31.0,355.0,386.0,1212.0,764.0,1976.0,46
37.0,355.0,392.0,1218.0,764.0,1982.0,47
48.0,321.0,369.0,1229.0,730.0,1959.0,48
41.0,284.0,325.0,1222.0,693.0,1915.0,49
36.0,337.0,373.0,1217.0,746.0,1963.0,50
63.0,301.0,364.0,1244.0,710.0,1954.0,51
32.0,371.0,403.0,1213.0,780.0,1993.0,52
13.0,441.0,454.0,1194.0,850.0,2044.0,53
60.0,234.0,294.0,1241.0,643.0,1884.0,54
34.0,358.0,392.0,1215.0,767.0,1982.0,55
13.0,456.0,469.0,1194.0,865.0,2059.0,56
4.0,415.0,419.0,1185.0,824.0,2009.0,57
101.0,359.0,460.0,1282.0,768.0,2050.0,58
31.0,306.0,337.0,1212.0,715.0,1927.0,59
104.0,277.0,381.0,1285.0,686.0,1971.0,60
18.0,365.0,383.0,1199.0,774.0,1973.0,61
79.0,252.0,331.0,1260.0,661.0,1921.0,62
23.0,300.0,323.0,1204.0,709.0,1913.0,63
45.0,297.0,342.0,1226.0,706.0,1932.0,64
24.0,271.0,295.0,1205.0,680.0,1885.0,65
28.0,350.0,378.0,1209.0,759.0,1968.0,66
42.0,218.0,260.0,1223.0,627.0,1850.0,67
11.0,234.0,245.0,1192.0,643.0,1835.0,68
46.0,152.0,198.0,1227.0,561.0,1788.0,69
36.0,312.0,348.0,1217.0,721.0,1938.0,70
30.0,303.0,333.0,1211.0,712.0,1923.0,71
56.0,289.0,345.0,1237.0,698.0,1935.0,72
36.0,294.0,330.0,1217.0,703.0,1920.0,73
20.0,361.0,381.0,1201.0,770.0,1971.0,74
35.0,311.0,346.0,1216.0,720.0,1936.0,75
35.0,265.0,300.0,1216.0,674.0,1890.0,76
19.0,441.0,460.0,1200.0,850.0,2050.0,77
68.0,401.0,469.0,1249.0,810.0,2059.0,78
50.0,319.0,369.0,1231.0,728.0,1959.0,79
14.0,396.0,410.0,1195.0,805.0,2000.0,80
12.0,290.0,302.0,1193.0,699.0,1892.0,81
48.0,247.0,295.0,1229.0,656.0,1885.0,82
36.0,287.0,323.0,1217.0,696.0,1913.0,83
18.0,293.0,311.0,1199.0,702.0,1901.0,84
39.0,345.0,384.0,1220.0,754.0,1974.0,85
40.0,385.0,425.0,1221.0,794.0,2015.0,86
18.0,377.0,395.0,1199.0,786.0,1985.0,87
35.0,352.0,387.0,1216.0,761.0,1977.0,88
12.0,360.0,372.0,1193.0,769.0,1962.0,89
49.0,377.0,426.0,1230.0,786.0,2016.0,90
30.0,420.0,450.0,1211.0,829.0,2040.0,91
17.0,302.0,319.0,1198.0,711.0,1909.0,92
13.0,395.0,408.0,1194.0,804.0,1998.0,93
39.0,282.0,321.0,1220.0,691.0,1911.0,94
0.0,300.0,300.0,1181.0,709.0,1890.0,95
20.0,464.0,484.0,1201.0,873.0,2074.0,96
32.0,252.0,284.0,1213.0,661.0,1874.0,97
10.0,265.0,275.0,1191.0,674.0,1865.0,98
15.0,269.0,284.0,1196.0,678.0,1874.0,99
37.0,280.0,317.0,1218.0,689.0,1907.0,100
68.0,306.0,374.0,1249.0,715.0,1964.0,101
14.0,329.0,343.0,1195.0,738.0,1933.0,102
38.0,290.0,328.0,1219.0,699.0,1918.0,103
13.0,405.0,418.0,1194.0,814.0,2008.0,104
26.0,437.0,463.0,1207.0,846.0,2053.0,105
29.0,326.0,355.0,1210.0,735.0,1945.0,106
30.0,224.0,254.0,1211.0,633.0,1844.0,107
42.0,318.0,360.0,1223.0,727.0,1950.0,108
43.0,361.0,404.0,1224.0,770.0,1994.0,109
54.0,310.0,364.0,1235.0,719.0,1954.0,110
22.0,364.0,386.0,1203.0,773.0,1976.0,111
14.0,221.0,235.0,1195.0,630.0,1825.0,112
41.0,267.0,308.0,1222.0,676.0,1898.0,113
22.0,182.0,204.0,1203.0,591.0,1794.0,114
34.0,246.0,280.0,1215.0,655.0,1870.0,115
70.0,339.0,409.0,1251.0,748.0,1999.0,116
42.0,426.0,468.0,1223.0,835.0,2058.0,117
42.0,235.0,277.0,1223.0,644.0,1867.0,118
47.0,272.0,319.0,1228.0,681.0,1909.0,119
33.0,213.0,246.0,1214.0,622.0,1836.0,120
37.0,373.0,410.0,1218.0,782.0,2000.0,121
1.0,387.0,388.0,1182.0,796.0,1978.0,122
