PPO2,DQN,Actor-Critic,ep
1714.458386,190.9677604,21501.88371,0
1678.000521,205.9647416,21397.51338,1
1653.89381,189.4102232,21298.59092,2
1642.240468,187.2827119,21250.64036,3
1629.168021,184.8566734,21223.2386,4
1617.129198,183.6964903,21194.16994,5
1600.246313,183.5871496,21176.60084,6
1584.521435,184.8384886,21153.80939,7
1568.080304,183.1113415,21135.81046,8
1552.637162,182.3298125,21107.00415,9
1536.719375,182.8319021,21094.46874,10
1520.068424,183.1403116,21075.61005,11
1505.121586,181.822301,21055.02826,12
1489.146996,181.6042573,21032.72158,13
1472.758485,181.8685025,21009.57279,14
1455.834674,181.6605197,20980.96866,15
1439.847523,180.701034,20961.22248,16
1423.430584,180.2496278,20931.38854,17
1406.686747,179.1368418,20905.77126,18
1389.086142,179.5856251,20882.33302,19
1371.140435,178.9535269,20857.98772,20
1351.738829,178.8038409,20834.12503,21
1330.215637,178.9720043,20796.89032,22
1313.196535,178.8046677,20778.71388,23
1293.82878,178.6866634,20748.80476,24
1274.432928,178.638687,20724.04808,25
1254.897194,178.6177203,20689.44421,26
1234.843597,178.5389866,20658.19302,27
1214.798187,178.4536196,20631.91749,28
1194.215077,178.4889424,20602.33529,29
1170.921535,178.5009506,20570.52519,30
1151.575336,178.2850956,20535.54507,31
1130.169276,178.3182987,20502.1118,32
1108.931102,178.6938332,20462.58019,33
1088.170237,178.6538669,20431.86683,34
1063.939849,178.9241464,20400.74455,35
1043.257515,178.7647001,20357.34984,36
1020.837947,178.7597512,20328.4916,37
998.4255413,178.6585086,20288.73847,38
976.9082312,178.4625117,20253.67634,39
953.6679759,178.5238235,20213.3958,40
931.2434499,178.4969462,20178.82853,41
909.454177,178.2926623,20136.17097,42
888.1536629,178.3126799,20098.53043,43
866.2492009,178.3440424,20052.84133,44
843.6620387,178.2425795,20013.1757,45
823.0266928,178.1479292,19971.28831,46
803.6623675,178.1300869,19930.91575,47
784.5573592,178.0871359,19886.95411,48
764.4101564,178.2483202,19822.63298,49
745.5844182,178.1530484,19791.45351,50
726.9695775,178.2517442,19751.40401,51
709.4088772,178.347516,19706.76958,52
691.8324816,178.27125,19651.38772,53
677.8255487,178.2247902,19604.75776,54
660.1014796,178.2708904,19563.9111,55
648.9464791,178.2919735,19511.6401,56
634.8348658,178.2797653,19447.15048,57
623.7366396,178.2488639,19412.95315,58
611.329629,178.3012394,19362.36045,59
601.4508617,178.2482035,19310.75694,60
590.4656387,178.2061694,19259.45323,61
579.9808622,178.2493567,19202.77793,62
571.4350412,178.3113036,19144.63145,63
562.332722,178.2522393,19096.0744,64
553.1538843,178.168037,19035.20445,65
543.1921036,178.209795,18982.19254,66
535.670156,178.2223115,18930.42333,67
526.6844531,178.254274,18873.11389,68
518.3027529,178.3094155,18809.79269,69
508.3458901,178.2622963,18755.57444,70
500.5795068,178.2031235,18698.97715,71
491.560144,178.2849257,18641.70091,72
485.6200176,178.2156993,18580.46767,73
475.7234142,178.2780385,18512.37817,74
