pid,did,pro_time
45,4,16
67,5,15
78,3,15
40,3,10
10,2,10
90,9,11
82,8,17
33,5,15
7,2,15
29,2,12
21,4,12
39,5,10
79,6,13
96,7,15
74,3,17
44,4,17
47,2,11
54,0,20
70,1,11
16,9,16
35,9,15
92,9,13
27,6,12
15,9,10
32,0,10
65,8,15
2,9,20
93,4,18
55,8,13
81,9,12
95,6,11
1,2,12
34,6,14
57,9,13
56,1,15
6,4,14
87,2,17
98,8,13
80,1,10
19,9,15
76,2,11
72,8,20
5,8,20
18,7,12
31,9,11
38,3,15
60,4,14
0,6,18
3,6,17
20,7,17
28,0,13
8,6,19
44,1,10
67,3,19
68,1,11
30,8,13
24,9,17
94,5,13
0,9,19
51,7,12
42,8,13
4,2,12
17,2,20
9,6,10
11,8,15
14,8,16
85,9,13
69,2,16
49,8,13
59,7,17
48,4,19
67,7,16
0,3,17
42,1,11
73,0,14
3,2,12
22,7,18
86,3,14
26,6,11
12,0,10
52,5,14
55,4,20
75,2,14
46,3,18
44,6,12
77,5,19
84,3,16
66,0,19
42,0,19
71,6,13
99,6,13
88,5,13
37,0,17
41,4,12
64,6,13
12,2,11
55,5,19
94,8,14
59,0,20
23,8,12
12,3,14
97,3,19
19,0,10
59,5,12
34,7,14
19,3,14
62,5,15
13,0,17
34,5,17
53,5,10
61,5,18
63,1,15
83,7,18
89,1,11
89,7,11
91,1,14
3,1,17
89,3,12
37,7,13
81,4,11
50,4,10
94,7,11
88,0,20
36,0,19
88,4,17
58,4,15
43,7,14
37,1,12
81,1,17
25,1,18
