pid,did,pro_time
21,9,15
52,9,17
41,2,12
31,5,12
2,7,19
1,7,11
40,6,16
43,2,19
5,4,10
59,1,12
28,9,18
11,7,11
38,0,16
53,3,18
18,9,17
37,1,15
25,4,10
45,8,20
6,7,18
8,6,18
0,1,13
7,9,14
48,6,20
36,2,12
34,3,20
22,0,13
26,0,16
19,1,11
27,2,10
42,2,16
0,5,16
29,2,10
35,4,13
0,7,16
42,0,18
57,2,14
32,4,15
17,7,15
24,4,20
49,7,12
56,7,14
19,3,10
4,3,15
47,1,12
9,8,14
10,2,11
54,4,15
33,6,20
42,5,14
23,3,19
3,8,10
58,5,11
46,8,17
19,6,15
14,4,20
12,3,11
56,6,18
15,9,16
51,3,18
48,0,18
13,5,10
56,9,20
17,9,20
13,6,10
55,6,15
30,5,16
20,3,18
17,5,19
4,8,13
54,5,16
39,4,20
13,1,10
54,1,19
44,0,18
50,1,20
48,8,14
16,0,13
4,0,14
