PPO2,DQN,Actor-Critic,ep
357.9591837,357.9827586,357.8877551,0
357.9659864,357.9517241,357.9795918,1
357.9863946,357.9827586,357.9829932,2
357.9727891,357.9758621,357.962585,3
357.9353741,357.9103448,357.9863946,4
357.9931973,357.9206897,357.9659864,5
357.9183673,357.937931,358,6
357.9387755,357.9482759,357.9795918,7
357.9285714,357.9034483,357.9897959,8
357.9557823,357.9482759,357.9319728,9
357.9489796,357.8862069,357.9727891,10
357.9183673,357.9586207,357.9693878,11
357.9693878,357.9655172,357.9863946,12
357.9727891,357.9655172,357.9897959,13
357.9489796,357.9413793,357.9863946,14
357.8945578,357.9931034,357.9591837,15
357.9353741,357.9517241,357.9863946,16
357.9727891,357.962069,357.9591837,17
357.9761905,357.9172414,357.9557823,18
357.9829932,357.962069,357.9659864,19
358,357.9655172,357.9795918,20
357.9353741,357.9862069,357.9931973,21
357.7789116,357.9793103,357.9013605,22
357.9353741,357.9689655,357.9863946,23
357.9217687,357.9862069,357.9659864,24
357.9455782,357.9206897,357.9965986,25
357.9319728,358,357.9693878,26
357.9591837,357.9793103,357.952381,27
357.9489796,357.9965517,357.9795918,28
357.952381,357.9482759,357.9965986,29
357.8979592,357.9103448,357.9965986,30
357.9591837,357.7896552,357.9761905,31
357.9217687,357.8862069,357.9727891,32
357.9659864,357.9517241,357.9387755,33
357.9931973,357.9413793,357.9591837,34
357.9251701,357.8793103,357.9863946,35
357.914966,357.9827586,357.9353741,36
357.952381,357.9413793,357.9863946,37
357.9489796,357.9827586,357.9557823,38
357.9727891,357.8862069,357.9863946,39
357.9319728,357.9482759,357.9659864,40
357.9183673,357.9137931,358,41
357.9251701,357.8758621,357.9795918,42
357.9455782,357.8034483,357.9965986,43
357.9319728,357.9413793,357.9387755,44
357.8741497,357.9448276,357.9727891,45
357.8877551,357.8517241,357.9659864,46
357.9353741,357.8689655,357.9863946,47
357.9727891,357.8275862,357.9897959,48
357.9421769,357.9172414,357.8605442,49
357.9421769,357.8827586,357.952381,50
357.9183673,357.8689655,357.9829932,51
357.9115646,357.9413793,358,52
357.8639456,357.9206897,357.9353741,53
357.9489796,357.9068966,357.952381,54
357.8095238,357.9206897,358,55
357.952381,357.9689655,357.9761905,56
357.9013605,357.9172414,357.8843537,57
357.9591837,357.9482759,357.9795918,58
357.9115646,357.962069,357.9897959,59
357.9591837,357.9448276,357.9863946,60
357.9217687,357.9206897,357.9829932,61
357.8809524,357.9413793,357.9659864,62
357.952381,357.9689655,357.9217687,63
357.9693878,357.9586207,357.9795918,64
357.9693878,357.9551724,357.9421769,65
357.9115646,357.9241379,357.9455782,66
357.9863946,357.9517241,357.9863946,67
357.9659864,357.9724138,357.9829932,68
357.9727891,357.9586207,357.9387755,69
357.877551,357.9482759,357.9693878,70
357.9013605,357.9517241,357.9829932,71
357.8435374,357.937931,357.9965986,72
357.9727891,357.9448276,357.9863946,73
357.8367347,357.9517241,357.9421769,74
357.9251701,357.9586207,357.9829932,75
357.8537415,357.9793103,357.952381,76
357.9829932,357.9241379,357.8911565,77
357.8945578,357.937931,357.9489796,78
357.8979592,357.9793103,357.9183673,79
357.9489796,357.9551724,357.9965986,80
357.9115646,357.9724138,357.9659864,81
357.8843537,357.9965517,357.9421769,82
357.8809524,357.9758621,357.9829932,83
357.962585,357.9793103,357.952381,84
357.877551,357.9310345,357.9489796,85
357.952381,357.9482759,357.9217687,86
357.914966,357.9655172,357.9727891,87
357.9727891,357.9827586,357.9931973,88
357.8877551,357.9827586,357.8979592,89
357.9659864,357.9689655,357.9761905,90
357.9591837,357.9551724,357.9693878,91
357.9761905,357.9586207,357.9795918,92
357.9727891,357.9586207,357.9387755,93
357.9319728,357.962069,357.9863946,94
357.9455782,357.9758621,357.9931973,95
357.9693878,357.9586207,357.9863946,96
357.9489796,357.9758621,357.9863946,97
357.9183673,357.9931034,357.9421769,98
357.9693878,357.8689655,357.8707483,99
357.954386,357.9362416,357.9857651,100
357.8526316,357.9597315,357.9679715,101
357.9368421,357.9530201,357.9786477,102
357.9333333,357.9362416,357.9466192,103
357.9192982,357.9697987,357.9288256,104
357.9929825,357.9697987,357.9430605,105
357.954386,357.966443,357.9430605,106
357.9649123,357.9630872,357.9786477,107
357.9403509,357.9630872,357.9786477,108
357.8526316,357.9865772,357.9608541,109
358,357.9161074,357.975089,110
357.9192982,357.9496644,357.9893238,111
357.9263158,357.9395973,357.9537367,112
357.9403509,357.9697987,357.9679715,113
357.9578947,357.9697987,357.9715302,114
357.9649123,357.9765101,357.9572954,115
357.8877193,357.9697987,357.9430605,116
357.9508772,357.966443,357.9572954,117
357.8666667,357.9228188,357.9715302,118
357.9192982,357.9765101,357.9466192,119
357.9578947,357.9731544,357.9964413,120
357.9403509,357.9597315,357.9857651,121
357.9017544,357.9899329,357.9893238,122
357.954386,357.9731544,357.9857651,123
357.9649123,357.9697987,357.975089,124
357.8666667,357.9798658,357.9679715,125
357.9473684,357.9295302,357.9822064,126
357.9192982,357.9630872,357.9679715,127
357.9754386,357.942953,357.9857651,128
357.9684211,357.942953,357.9644128,129
357.954386,357.9731544,357.9822064,130
357.8982456,357.9865772,357.975089,131
357.9649123,357.9463087,357.9822064,132
357.8315789,357.942953,357.9715302,133
357.9473684,357.942953,357.9786477,134
357.9403509,357.8221477,357.975089,135
357.8982456,357.8959732,357.9715302,136
357.8842105,357.9127517,357.9786477,137
357.9403509,357.9328859,357.975089,138
357.922807,357.8959732,357.9822064,139
357.922807,357.9261745,357.9786477,140
357.9052632,357.9563758,357.9786477,141
357.9122807,357.9496644,357.9288256,142
357.9192982,357.9194631,357.9857651,143
357.9754386,357.9731544,358,144
357.9017544,357.9463087,357.975089,145
357.9649123,357.9630872,357.9857651,146
357.9719298,357.9765101,357.9857651,147
357.9192982,357.9765101,357.9786477,148
357.9508772,357.9597315,357.9786477,149
357.9614035,357.9563758,357.9893238,150
357.922807,357.9697987,357.9039146,151
357.9333333,357.9697987,357.9786477,152
357.9614035,357.9865772,357.9679715,153
357.9263158,357.9563758,357.9181495,154
357.9087719,357.942953,357.9928826,155
357.9649123,357.9261745,357.9572954,156
357.9122807,357.9362416,357.9145907,157
357.9263158,357.9261745,357.9501779,158
357.9578947,357.9932886,357.9395018,159
357.9508772,357.9597315,357.9715302,160
357.9473684,357.966443,357.9715302,161
357.9052632,357.966443,357.9928826,162
357.9754386,357.966443,357.9822064,163
357.8280702,357.9630872,358,164
357.9649123,357.9597315,357.9430605,165
357.9052632,357.9630872,357.9715302,166
357.9052632,357.9630872,357.9893238,167
357.9438596,357.9496644,357.9964413,168
357.9333333,357.9899329,358,169
357.9614035,357.9597315,357.975089,170
357.8947368,357.942953,358,171
357.9263158,357.9798658,357.9145907,172
357.8491228,357.9832215,357.9822064,173
357.922807,357.9463087,357.9466192,174
357.9052632,357.9798658,357.9715302,175
357.9684211,357.9395973,357.9928826,176
357.9578947,357.909396,357.9288256,177
357.9473684,357.8926174,357.975089,178
357.9052632,357.8959732,357.9857651,179
357.8561404,357.9261745,357.9430605,180
357.9578947,357.9194631,357.9928826,181
357.9614035,357.9765101,357.9537367,182
357.8070175,357.9832215,357.9679715,183
357.9333333,357.9832215,357.9430605,184
357.9087719,357.9865772,357.9893238,185
357.9017544,357.966443,357.9857651,186
357.9157895,357.9697987,357.9893238,187
357.8666667,357.9463087,357.8825623,188
357.9754386,357.9530201,357.9715302,189
357.9578947,357.942953,357.9786477,190
357.9859649,357.9765101,357.9537367,191
357.9263158,357.9731544,357.9822064,192
357.922807,357.9395973,357.9893238,193
357.9333333,357.9697987,357.9893238,194
357.9157895,357.9597315,357.9501779,195
357.9473684,357.9228188,357.9893238,196
357.9508772,357.9228188,357.9893238,197
357.8982456,357.9463087,357.9715302,198
357.9614035,357.9362416,357.9501779,199
357.9307958,357.9828179,357.9292929,200
357.9653979,357.9725086,357.986532,201
357.8858131,357.9725086,357.952862,202
357.9307958,357.9656357,357.962963,203
357.9550173,357.9587629,357.989899,204
357.9896194,357.9415808,357.9225589,205
357.9550173,357.9312715,357.989899,206
357.9515571,357.8728522,357.9427609,207
357.8892734,357.9450172,357.986532,208
357.9619377,357.9725086,357.9225589,209
357.8788927,357.9243986,357.9494949,210
357.9377163,357.8934708,357.959596,211
357.8858131,357.9828179,357.969697,212
357.9688581,357.9793814,357.986532,213
357.9307958,357.9725086,357.979798,214
357.9065744,357.9656357,357.986532,215
357.899654,357.9690722,357.9360269,216
357.8788927,357.9690722,357.969697,217
357.9065744,357.9621993,357.96633,218
357.9307958,357.9828179,357.962963,219
357.9238754,357.9793814,357.996633,220
357.8615917,357.9793814,357.989899,221
357.9238754,357.9725086,357.973064,222
357.9515571,357.9415808,357.973064,223
357.9307958,357.9037801,357.962963,224
357.982699,357.8865979,357.969697,225
358,357.8865979,357.9259259,226
357.9861592,357.8659794,357.973064,227
357.9238754,357.9896907,357.973064,228
357.9515571,357.9140893,357.976431,229
357.8685121,357.9725086,357.9494949,230
357.9238754,357.9828179,357.8855219,231
357.9653979,357.9793814,357.9360269,232
357.982699,357.9896907,357.983165,233
357.9134948,357.9381443,357.983165,234
357.9792388,357.8969072,357.9124579,235
357.9861592,357.8900344,357.986532,236
357.9723183,357.9587629,357.969697,237
357.9204152,357.9793814,357.9292929,238
357.9377163,357.9896907,357.9494949,239
357.9446367,357.9862543,357.989899,240
357.9584775,357.9725086,357.9225589,241
357.9688581,357.9484536,357.96633,242
357.9653979,357.9656357,357.952862,243
357.916955,357.9862543,357.8619529,244
357.9377163,357.9656357,357.9461279,245
357.9307958,357.9278351,357.969697,246
357.9411765,357.9140893,357.956229,247
357.9273356,357.8075601,357.986532,248
357.9446367,357.8762887,357.9326599,249
357.8719723,357.8865979,357.9360269,250
357.9515571,357.9725086,357.962963,251
357.9792388,357.9553265,357.976431,252
357.8719723,357.9793814,357.9124579,253
357.9342561,357.975945,357.973064,254
357.9584775,357.9965636,357.962963,255
357.9100346,357.9828179,357.952862,256
357.9619377,357.9621993,357.989899,257
357.9792388,357.9656357,357.9494949,258
357.9342561,357.9587629,357.9057239,259
357.9515571,357.9484536,357.9360269,260
357.9792388,357.9450172,357.993266,261
357.9100346,357.8831615,357.973064,262
357.8858131,357.9037801,357.973064,263
357.9238754,357.8247423,357.986532,264
357.9930796,357.9621993,357.983165,265
357.9550173,357.8934708,357.9191919,266
357.9134948,357.9450172,357.986532,267
357.9238754,357.9450172,358,268
357.9584775,357.975945,357.969697,269
357.9480969,357.975945,357.996633,270
357.9446367,357.9862543,357.9427609,271
357.9757785,357.975945,357.9023569,272
357.9342561,357.9793814,357.996633,273
357.899654,357.9828179,357.959596,274
357.982699,357.9896907,357.986532,275
357.9204152,357.9656357,357.976431,276
357.9688581,357.9243986,357.979798,277
357.899654,357.8797251,357.969697,278
357.9515571,357.8487973,357.989899,279
357.9723183,357.814433,357.952862,280
357.9792388,357.9312715,357.9259259,281
357.9688581,357.9690722,357.973064,282
357.9653979,357.9896907,357.989899,283
357.9307958,357.9828179,357.9427609,284
357.9065744,357.975945,357.973064,285
357.9965398,357.9896907,357.996633,286
357.9307958,357.9587629,357.9158249,287
357.9688581,357.9450172,357.973064,288
357.9100346,357.9725086,357.969697,289
357.9653979,357.9140893,357.9225589,290
357.9619377,357.9656357,357.983165,291
357.9861592,357.8728522,357.989899,292
357.9688581,357.9072165,357.989899,293
357.9896194,357.9243986,357.9461279,294
357.9273356,357.9415808,357.962963,295
357.9653979,357.9931271,357.983165,296
357.9757785,357.9484536,357.973064,297
357.9861592,357.9931271,357.96633,298
357.9307958,357.9931271,357.976431,299
357.8951049,357.9548611,357.9647887,300
357.9335664,357.9826389,357.915493,301
357.951049,357.9722222,357.943662,302
357.993007,357.8993056,357.9753521,303
357.9335664,357.8263889,357.9964789,304
357.9615385,357.7986111,357.9647887,305
357.972028,357.9305556,357.9084507,306
357.9440559,357.9236111,357.9647887,307
