PPO2,PPO2,DQN,DQN,Actor-Critic,Actor-Critic,ep
357.9591837,1714.458386,357.9827586,190.9677604,357.8877551,21501.88371,0
357.9659864,1678.000521,357.9517241,205.9647416,357.9795918,21397.51338,1
357.9863946,1653.89381,357.9827586,189.4102232,357.9829932,21298.59092,2
357.9727891,1642.240468,357.9758621,187.2827119,357.962585,21250.64036,3
357.9353741,1629.168021,357.9103448,184.8566734,357.9863946,21223.2386,4
357.9931973,1617.129198,357.9206897,183.6964903,357.9659864,21194.16994,5
357.9183673,1600.246313,357.937931,183.5871496,358,21176.60084,6
357.9387755,1584.521435,357.9482759,184.8384886,357.9795918,21153.80939,7
357.9285714,1568.080304,357.9034483,183.1113415,357.9897959,21135.81046,8
357.9557823,1552.637162,357.9482759,182.3298125,357.9319728,21107.00415,9
357.9489796,1536.719375,357.8862069,182.8319021,357.9727891,21094.46874,10
357.9183673,1520.068424,357.9586207,183.1403116,357.9693878,21075.61005,11
357.9693878,1505.121586,357.9655172,181.822301,357.9863946,21055.02826,12
357.9727891,1489.146996,357.9655172,181.6042573,357.9897959,21032.72158,13
357.9489796,1472.758485,357.9413793,181.8685025,357.9863946,21009.57279,14
357.8945578,1455.834674,357.9931034,181.6605197,357.9591837,20980.96866,15
357.9353741,1439.847523,357.9517241,180.701034,357.9863946,20961.22248,16
357.9727891,1423.430584,357.962069,180.2496278,357.9591837,20931.38854,17
357.9761905,1406.686747,357.9172414,179.1368418,357.9557823,20905.77126,18
357.9829932,1389.086142,357.962069,179.5856251,357.9659864,20882.33302,19
358,1371.140435,357.9655172,178.9535269,357.9795918,20857.98772,20
357.9353741,1351.738829,357.9862069,178.8038409,357.9931973,20834.12503,21
357.7789116,1330.215637,357.9793103,178.9720043,357.9013605,20796.89032,22
357.9353741,1313.196535,357.9689655,178.8046677,357.9863946,20778.71388,23
357.9217687,1293.82878,357.9862069,178.6866634,357.9659864,20748.80476,24
357.9455782,1274.432928,357.9206897,178.638687,357.9965986,20724.04808,25
357.9319728,1254.897194,358,178.6177203,357.9693878,20689.44421,26
357.9591837,1234.843597,357.9793103,178.5389866,357.952381,20658.19302,27
357.9489796,1214.798187,357.9965517,178.4536196,357.9795918,20631.91749,28
357.952381,1194.215077,357.9482759,178.4889424,357.9965986,20602.33529,29
