did,pid,start_time,pro_time,finish_time,step,job_id
0,40,0.0,13,13.0,10,39
0,16,13.0,16,29.0,27,40
0,7,29.0,13,42.0,38,95
0,32,42.0,13,55.0,45,73
0,24,55.0,17,72.0,57,88
0,26,72.0,19,91.0,67,66
0,75,91.0,13,104.0,70,42
0,36,104.0,11,115.0,75,19
0,13,115.0,15,130.0,90,61
0,46,130.0,18,148.0,95,62
1,66,0.0,17,17.0,6,83
1,35,17.0,10,27.0,20,11
1,13,27.0,12,39.0,28,85
1,27,39.0,11,50.0,35,46
1,4,50.0,11,61.0,36,87
1,45,61.0,11,72.0,40,43
1,47,72.0,10,82.0,81,96
1,31,82.0,16,98.0,85,84
1,1,118.0,15,133.0,86,3
1,9,98.0,20,118.0,97,31
2,51,0.0,15,15.0,11,47
2,25,15.0,16,31.0,12,58
2,17,31.0,19,50.0,24,71
2,14,50.0,18,68.0,25,54
2,18,68.0,15,83.0,32,16
2,64,83.0,16,99.0,33,63
2,1,99.0,19,118.0,39,41
2,63,118.0,19,137.0,56,93
2,5,137.0,17,154.0,64,9
2,54,154.0,14,168.0,69,21
3,61,0.0,13,13.0,9,37
3,72,13.0,14,27.0,26,60
3,0,27.0,14,41.0,29,27
3,19,41.0,16,57.0,30,12
3,6,57.0,11,68.0,48,94
3,56,68.0,20,88.0,53,80
3,78,88.0,12,100.0,68,70
3,62,100.0,12,112.0,77,49
3,15,112.0,15,127.0,94,35
3,4,127.0,16,143.0,96,67
4,37,0.0,10,10.0,1,98
4,42,10.0,10,20.0,17,13
4,76,20.0,20,40.0,50,52
4,43,40.0,20,60.0,51,36
4,2,60.0,16,76.0,54,8
4,66,76.0,20,96.0,55,6
4,49,96.0,15,111.0,62,86
4,77,111.0,10,121.0,66,20
4,57,121.0,20,141.0,84,23
4,59,141.0,19,160.0,93,14
5,60,0.0,13,13.0,0,68
5,28,13.0,17,30.0,3,72
5,58,30.0,17,47.0,5,1
5,11,47.0,12,59.0,15,44
5,12,59.0,16,75.0,19,38
5,33,75.0,13,88.0,21,32
5,3,88.0,16,104.0,59,79
5,20,104.0,11,115.0,73,0
5,7,115.0,10,125.0,78,48
5,73,125.0,20,145.0,83,78
6,5,0.0,13,13.0,4,77
6,34,13.0,16,29.0,8,65
6,48,29.0,17,46.0,13,10
6,59,46.0,19,65.0,14,89
6,74,65.0,13,78.0,18,24
6,22,78.0,20,98.0,22,2
6,4,98.0,14,112.0,31,81
6,38,112.0,15,127.0,47,97
6,20,127.0,15,142.0,88,5
6,30,142.0,12,154.0,92,18
7,21,0.0,18,18.0,7,69
7,20,18.0,12,30.0,34,74
7,37,30.0,19,49.0,46,90
7,13,49.0,20,69.0,52,22
7,55,69.0,15,84.0,60,33
7,10,84.0,12,96.0,61,25
7,43,96.0,13,109.0,63,64
7,41,109.0,20,129.0,72,15
7,79,129.0,14,143.0,82,45
8,52,0.0,20,20.0,42,34
8,43,20.0,14,34.0,44,50
8,34,34.0,11,45.0,49,29
8,23,45.0,20,65.0,65,17
8,70,65.0,19,84.0,71,76
8,50,84.0,18,102.0,74,55
8,71,102.0,10,112.0,76,59
8,53,112.0,20,132.0,79,4
8,62,132.0,14,146.0,80,7
8,68,146.0,12,158.0,91,75
9,8,0.0,10,10.0,2,56
9,29,10.0,16,26.0,16,51
9,62,26.0,14,40.0,23,57
9,67,40.0,16,56.0,37,91
9,1,56.0,12,68.0,41,28
9,59,68.0,16,84.0,43,82
9,69,84.0,10,94.0,58,53
9,39,94.0,11,105.0,87,92
9,44,105.0,16,121.0,89,26
9,65,121.0,17,138.0,98,30
