did,pid,start_time,pro_time,finish_time,step
0,42,0.0,18,18.0,0
0,16,18.0,13,31.0,9
0,22,31.0,13,44.0,13
0,38,44.0,16,60.0,17
0,48,60.0,18,78.0,42
0,44,78.0,18,96.0,47
0,4,96.0,14,110.0,60
0,26,110.0,16,126.0,67
1,50,0.0,20,20.0,18
1,59,20.0,12,32.0,23
1,19,32.0,11,43.0,25
1,47,43.0,12,55.0,35
1,13,55.0,10,65.0,44
1,54,94.0,19,113.0,69
1,37,65.0,15,80.0,74
1,0,80.0,13,93.0,76
2,41,0.0,12,12.0,5
2,36,12.0,12,24.0,11
2,27,24.0,10,34.0,15
2,43,34.0,19,53.0,36
2,57,53.0,14,67.0,37
2,42,67.0,16,83.0,59
2,10,83.0,11,94.0,62
2,29,94.0,10,104.0,70
3,19,0.0,10,10.0,1
3,12,10.0,11,21.0,4
3,34,21.0,20,41.0,28
3,23,41.0,19,60.0,40
3,20,60.0,18,78.0,41
3,4,78.0,15,93.0,57
3,51,93.0,18,111.0,66
3,53,111.0,18,129.0,71
4,32,0.0,15,15.0,10
4,24,15.0,20,35.0,16
4,39,35.0,20,55.0,21
4,25,55.0,10,65.0,39
4,5,65.0,10,75.0,45
4,35,75.0,13,88.0,51
4,14,88.0,20,108.0,61
4,54,113.0,15,128.0,75
5,42,18.0,14,32.0,3
5,17,32.0,19,51.0,8
5,13,0,10,10,14
5,0,51.0,16,67.0,30
5,58,67.0,11,78.0,31
5,54,78.0,16,94.0,34
5,30,94.0,16,110.0,38
5,31,110.0,12,122.0,64
6,55,0.0,15,15.0,24
6,8,15.0,18,33.0,32
6,19,43.0,15,58.0,43
6,48,78.0,20,98.0,50
6,13,33.0,10,43.0,53
6,40,58.0,16,74.0,63
6,56,130.0,18,148.0,68
6,33,98.0,20,118.0,77
7,6,0.0,18,18.0,19
7,49,18.0,12,30.0,20
7,1,30.0,11,41.0,29
7,17,51.0,15,66.0,46
7,11,66.0,11,77.0,48
7,2,77.0,19,96.0,49
7,56,96.0,14,110.0,52
7,0,110.0,16,126.0,73
8,45,0.0,20,20.0,12
8,3,20.0,10,30.0,27
8,9,30.0,14,44.0,33
8,48,44.0,14,58.0,54
8,4,58.0,13,71.0,58
8,46,71.0,17,88.0,72
9,18,0.0,17,17.0,2
9,28,17.0,18,35.0,6
9,7,35.0,14,49.0,7
9,52,49.0,17,66.0,22
9,17,66.0,20,86.0,26
9,56,110.0,20,130.0,55
9,21,86.0,15,101.0,56
9,15,130.0,16,146.0,65
