did,pid,start_time,pro_time,finish_time,step
0,44,0,18,18,10
0,22,18,13,31,19
0,16,31,13,44,36
0,4,45,14,59,46
0,42,59,18,77,47
0,26,77,16,93,54
0,38,93,16,109,72
0,48,109,18,127,75
1,13,0,10,10,9
1,47,10,12,22,13
1,37,22,15,37,28
1,54,46,19,65,34
1,19,65,11,76,35
1,59,76,12,88,66
1,50,88,20,108,68
1,0,110,13,123,70
2,27,0,10,10,1
2,43,10,19,29,15
2,42,29,16,45,20
2,36,45,12,57,29
2,41,57,12,69,33
2,29,69,10,79,39
2,10,79,11,90,43
2,57,90,14,104,51
3,53,0,18,18,30
3,4,30,15,45,37
3,23,45,19,64,41
3,34,64,20,84,48
3,12,84,11,95,52
3,19,99,10,109,65
3,51,109,18,127,74
3,20,127,18,145,76
4,32,0,15,15,0
4,54,15,15,30,2
4,14,30,20,50,31
4,35,50,13,63,44
4,39,63,20,83,45
4,24,83,20,103,50
4,25,103,10,113,57
4,5,113,10,123,61
5,42,0,14,14,7
5,13,14,10,24,17
5,54,30,16,46,18
5,17,75,19,94,49
5,0,94,16,110,55
5,31,110,12,122,56
5,30,122,16,138,63
5,58,138,11,149,64
6,56,0,18,18,11
6,48,18,20,38,25
6,33,38,20,58,40
6,13,58,10,68,58
6,40,68,16,84,59
6,19,84,15,99,62
6,55,99,15,114,69
6,8,114,18,132,77
7,11,0,11,11,5
7,0,11,16,27,6
7,17,27,15,42,16
7,1,42,11,53,26
7,49,53,12,65,32
7,2,65,19,84,38
7,6,84,18,102,60
7,56,102,14,116,67
8,46,0,17,17,4
8,4,17,13,30,14
8,3,30,10,40,21
8,9,40,14,54,22
8,48,54,14,68,71
8,45,68,20,88,73
9,28,0,18,18,3
9,18,18,17,35,8
9,56,35,20,55,12
9,17,55,20,75,23
9,15,75,16,91,24
9,7,91,14,105,27
9,52,105,17,122,42
9,21,122,15,137,53
