did,pid,start_time,pro_time,finish_time,step
0,73,0,10,10,23
0,64,10,18,28,30
0,41,28,17,45,32
0,50,45,11,56,45
0,88,56,17,73,48
0,53,73,18,91,54
0,89,91,20,111,55
0,79,111,17,128,66
0,54,128,17,145,79
0,28,145,17,162,83
0,87,162,11,173,88
0,58,173,20,193,90
0,14,193,14,207,121
1,6,0.0,13,13.0,0
1,30,13.0,17,30.0,5
1,45,30.0,15,45.0,12
1,91,45.0,19,64.0,58
1,46,64.0,19,83.0,67
1,3,83.0,17,100.0,74
1,42,100.0,11,111.0,77
1,75,111.0,15,126.0,78
1,5,126.0,13,139.0,99
1,16,139.0,18,157.0,105
1,70,157.0,20,177.0,106
1,77,177.0,16,193.0,117
1,10,193.0,15,208.0,123
2,2,0.0,17,17.0,7
2,37,17.0,13,30.0,13
2,56,30.0,20,50.0,14
2,66,50.0,14,64.0,17
2,55,64.0,13,77.0,40
2,28,77.0,10,87.0,51
2,68,87.0,15,102.0,69
2,80,102.0,15,117.0,84
2,67,117.0,20,137.0,95
2,90,137.0,19,156.0,102
2,47,156.0,11,167.0,108
2,18,167.0,11,178.0,112
2,45,178.0,15,193.0,114
3,86,0.0,12,12.0,18
3,73,12.0,19,31.0,21
3,92,31.0,15,46.0,22
3,4,46.0,19,65.0,24
3,48,65.0,19,84.0,36
3,32,84.0,12,96.0,39
3,95,96.0,16,112.0,47
3,90,112.0,20,132.0,56
3,19,132.0,17,149.0,61
3,98,149.0,15,164.0,68
3,97,164.0,10,174.0,94
3,35,174.0,17,191.0,97
3,64,191.0,13,204.0,101
4,65,0.0,15,15.0,1
4,26,15.0,18,33.0,4
4,90,33.0,13,46.0,27
4,94,46.0,14,60.0,43
4,96,60.0,20,80.0,65
4,73,80.0,16,96.0,81
4,93,96.0,18,114.0,86
4,39,114.0,15,129.0,89
4,52,129.0,15,144.0,104
4,2,144.0,11,155.0,110
4,51,155.0,14,169.0,116
4,86,169.0,18,187.0,122
4,49,187.0,15,202.0,125
5,40,0.0,16,16.0,8
5,96,16.0,17,33.0,19
5,64,33.0,16,49.0,31
5,38,49.0,11,60.0,33
5,63,60.0,15,75.0,41
5,13,75.0,16,91.0,59
5,27,91.0,19,110.0,60
5,83,110.0,15,125.0,63
5,33,125.0,10,135.0,72
5,9,135.0,20,155.0,98
5,14,155.0,17,172.0,111
5,29,172.0,18,190.0,119
5,43,190.0,11,201.0,126
6,97,0.0,13,13.0,2
6,1,13.0,12,25.0,3
6,62,25.0,12,37.0,15
6,11,37.0,10,47.0,16
6,8,47.0,11,58.0,26
6,14,58.0,20,78.0,28
6,69,78.0,10,88.0,34
6,60,88.0,19,107.0,35
6,22,107.0,14,121.0,57
6,31,121.0,16,137.0,62
6,17,137.0,14,151.0,73
6,49,151.0,19,170.0,96
6,25,170.0,11,181.0,120
7,21,0.0,15,15.0,6
7,20,15.0,11,26.0,20
7,84,26.0,18,44.0,38
7,74,44.0,10,54.0,52
7,49,54.0,14,68.0,53
7,81,68.0,20,88.0,64
7,45,88.0,13,101.0,70
7,78,101.0,17,118.0,80
7,28,118.0,20,138.0,93
7,92,141.0,18,159.0,107
7,48,159.0,12,171.0,124
7,95,171.0,17,188.0,127
8,34,0.0,16,16.0,29
8,36,16.0,11,27.0,42
8,12,27.0,10,37.0,46
8,96,37.0,15,52.0,49
8,25,67.0,10,77.0,50
8,23,77.0,18,95.0,71
8,7,95.0,20,115.0,76
8,85,52.0,15,67.0,82
8,59,115.0,10,125.0,85
8,61,125.0,19,144.0,87
8,15,144.0,11,155.0,92
8,2,155.0,18,173.0,103
8,82,173.0,13,186.0,113
9,48,0.0,11,11.0,9
9,44,11.0,10,21.0,10
9,76,21.0,19,40.0,11
9,95,40.0,12,52.0,25
9,25,52.0,15,67.0,37
9,24,67.0,19,86.0,44
9,57,86.0,20,106.0,75
9,71,106.0,20,126.0,91
9,92,126.0,15,141.0,100
9,99,141.0,19,160.0,109
9,72,160.0,12,172.0,115
9,0,172.0,16,188.0,118
