did,pid,start_time,pro_time,finish_time,step
0,16,0,13,13,3
0,38,13,16,29,19
0,26,29,16,45,20
0,22,45,13,58,27
0,42,58,18,76,36
0,48,76,18,94,39
0,4,94,14,108,45
0,44,108,18,126,64
1,59,0,12,12,1
1,13,21,10,31,17
1,50,31,20,51,25
1,0,62,13,75,30
1,37,75,15,90,38
1,54,51,19,70,44
1,47,90,12,102,52
1,19,108,11,119,74
2,27,0,10,10,23
2,36,10,12,22,29
2,41,22,12,34,43
2,10,34,11,45,49
2,57,45,14,59,65
2,43,59,19,78,69
2,29,78,10,88,71
2,42,92,16,108,77
3,23,0,19,19,2
3,12,19,11,30,12
3,34,30,20,50,15
3,4,50,15,65,32
3,20,65,18,83,40
3,19,83,10,93,46
3,51,93,18,111,54
3,53,111,18,129,75
4,5,0,10,10,8
4,39,10,20,30,18
4,54,30,15,45,21
4,14,45,20,65,47
4,35,65,13,78,50
4,24,78,20,98,63
4,32,98,15,113,67
4,25,113,10,123,73
5,58,0,11,11,5
5,13,11,10,21,11
5,17,27,19,46,13
5,0,46,16,62,22
5,54,62,16,78,31
5,42,78,14,92,34
5,31,92,12,104,58
5,30,104,16,120,68
6,33,0,20,20,0
6,56,20,18,38,6
6,13,38,10,48,35
6,48,48,20,68,42
6,8,68,18,86,53
6,19,93,15,108,62
6,40,108,16,124,66
6,55,124,15,139,76
7,49,0,12,12,9
7,17,12,15,27,10
7,1,27,11,38,16
7,6,38,18,56,37
7,11,56,11,67,51
7,56,67,14,81,55
7,0,81,16,97,60
7,2,97,19,116,61
8,3,0,10,10,7
8,45,10,20,30,14
8,48,30,14,44,26
8,46,44,17,61,48
8,4,65,13,78,57
8,9,78,14,92,70
9,56,0,20,20,4
9,15,20,16,36,24
9,21,36,15,51,28
9,17,51,20,71,33
9,7,71,14,85,41
9,28,85,18,103,56
9,52,103,17,120,59
9,18,120,17,137,72
