did,pid,start_time,pro_time,finish_time,step
0,63,0.0,18,18.0,10
0,27,18.0,20,38.0,14
0,11,38.0,19,57.0,37
0,31,57.0,19,76.0,44
0,54,76.0,20,96.0,46
0,53,96.0,16,112.0,50
0,51,112.0,11,123.0,57
0,80,123.0,18,141.0,63
0,92,141.0,19,160.0,72
0,111,160.0,12,172.0,73
0,110,172.0,11,183.0,85
0,18,183.0,16,199.0,88
0,26,199.0,14,213.0,125
0,86,213.0,16,229.0,137
1,67,0.0,15,15.0,6
1,71,15.0,14,29.0,22
1,68,29.0,12,41.0,25
1,49,41.0,14,55.0,29
1,29,55.0,10,65.0,31
1,74,65.0,10,75.0,41
1,115,75.0,12,87.0,47
1,107,87.0,11,98.0,66
1,112,98.0,10,108.0,70
1,119,108.0,13,121.0,80
1,62,121.0,15,136.0,89
1,77,136.0,10,146.0,90
1,6,146.0,19,165.0,95
1,85,165.0,19,184.0,97
2,25,0.0,12,12.0,3
2,72,12.0,20,32.0,12
2,13,32.0,13,45.0,18
2,24,45.0,11,56.0,45
2,51,56.0,14,70.0,58
2,0,70.0,20,90.0,67
2,33,90.0,15,105.0,69
2,59,105.0,13,118.0,84
2,8,118.0,13,131.0,92
2,105,131.0,15,146.0,102
2,57,146.0,11,157.0,110
2,87,157.0,17,174.0,117
2,48,174.0,19,193.0,118
2,28,193.0,17,210.0,138
3,73,0.0,20,20.0,7
3,34,20.0,13,33.0,16
3,116,33.0,19,52.0,34
3,118,52.0,19,71.0,38
3,47,71.0,19,90.0,42
3,91,90.0,14,104.0,74
3,97,104.0,12,116.0,76
3,5,116.0,19,135.0,98
3,65,135.0,10,145.0,99
3,113,145.0,20,165.0,104
3,36,165.0,20,185.0,105
3,103,185.0,15,200.0,106
3,19,200.0,15,215.0,112
3,45,215.0,11,226.0,133
4,41,0.0,17,17.0,0
4,88,17.0,14,31.0,2
4,14,31.0,10,41.0,9
4,92,41.0,19,60.0,11
4,110,60.0,17,77.0,19
4,81,77.0,18,95.0,51
4,75,95.0,14,109.0,65
4,64,109.0,18,127.0,68
4,99,127.0,20,147.0,77
4,108,147.0,17,164.0,96
4,2,164.0,10,174.0,107
4,55,174.0,15,189.0,113
4,38,189.0,17,206.0,129
4,43,206.0,16,222.0,136
5,49,0,16,16,33
5,44,36.0,18,54.0,36
5,12,16.0,10,26.0,55
5,1,54.0,19,73.0,59
5,100,26.0,10,36.0,61
5,30,73.0,12,85.0,64
5,114,85.0,10,95.0,78
5,69,95.0,18,113.0,101
5,93,113.0,11,124.0,114
5,106,124.0,10,134.0,115
5,101,134.0,11,145.0,116
5,78,145.0,14,159.0,120
5,40,159.0,14,173.0,122
5,35,173.0,13,186.0,128
6,79,0.0,19,19.0,30
6,56,19.0,14,33.0,35
6,84,33.0,14,47.0,52
6,117,47.0,15,62.0,56
6,3,62.0,11,73.0,60
6,38,73.0,16,89.0,71
6,4,89.0,16,105.0,79
6,33,105.0,17,122.0,82
6,82,122.0,17,139.0,87
6,109,139.0,11,150.0,91
6,94,150.0,19,169.0,93
6,67,169.0,19,188.0,119
6,58,188.0,17,205.0,132
6,37,205.0,13,218.0,134
7,62,0.0,17,17.0,4
7,21,17.0,14,31.0,8
7,9,31.0,13,44.0,20
7,50,44.0,12,56.0,23
7,90,56.0,11,67.0,32
7,46,67.0,18,85.0,40
7,60,85.0,19,104.0,53
7,89,104.0,17,121.0,54
7,98,121.0,18,139.0,75
7,66,139.0,20,159.0,103
7,96,159.0,15,174.0,109
7,16,174.0,18,192.0,123
7,20,192.0,12,204.0,124
7,70,204.0,10,214.0,139
8,117,0.0,15,15.0,24
8,95,15.0,10,25.0,26
8,2,25.0,18,43.0,27
8,35,43.0,13,56.0,39
8,15,56.0,15,71.0,43
8,22,71.0,12,83.0,48
8,118,83.0,18,101.0,62
8,82,101.0,15,116.0,81
8,70,116.0,13,129.0,86
8,42,129.0,17,146.0,94
8,27,146.0,17,163.0,108
8,69,163.0,17,180.0,111
8,106,180.0,11,191.0,121
8,32,191.0,20,211.0,126
9,39,0.0,20,20.0,1
9,44,20.0,16,36.0,5
9,76,36.0,19,55.0,13
9,23,55.0,18,73.0,15
9,10,73.0,17,90.0,17
9,7,90.0,20,110.0,21
9,17,110.0,15,125.0,28
9,61,125.0,16,141.0,49
9,104,141.0,18,159.0,83
9,52,159.0,15,174.0,100
9,102,174.0,16,190.0,127
9,83,190.0,20,210.0,130
9,38,210.0,19,229.0,131
9,82,229.0,19,248.0,135
