did,pid,start_time,pro_time,finish_time
0,42,0,18,18
0,44,18,18,36
0,48,40.0,18,58.0
0,38,58.0,16,74.0
0,26,74.0,16,90.0
0,4,108.0,14,122.0
0,16,122.0,13,135.0
0,22,135.0,13,148.0
1,50,0,20,20
1,54,20,19,39
1,37,39,15,54
1,0,87.0,13,100.0
1,59,100.0,12,112.0
1,47,112.0,12,124.0
1,19,124.0,11,135.0
1,13,142.0,10,152.0
2,43,0,19,19
2,42,19,16,35
2,57,35,14,49
2,36,49,12,61
2,41,61,12,73
2,10,73,11,84
2,29,84,10,94
2,27,94,10,104
3,34,0,20,20
3,23,20,19,39
3,53,39,18,57
3,51,57,18,75
3,20,75,18,93
3,4,93,15,108
3,12,108,11,119
3,19,135.0,10,145.0
4,39,0,20,20
4,24,20,20,40
4,14,40,20,60
4,54,71.0,15,86.0
4,32,86.0,15,101.0
4,35,101.0,13,114.0
4,25,114.0,10,124.0
4,5,124.0,10,134.0
5,17,20.0,19,39.0
5,30,39.0,16,55.0
5,54,55.0,16,71.0
5,0,71.0,16,87.0
5,42,87.0,14,101.0
5,31,101.0,12,113.0
5,58,113.0,11,124.0
5,13,132.0,10,142.0
6,33,0,20,20
6,48,20,20,40
6,8,40,18,58
6,56,58,18,76
6,40,76,16,92
6,55,92,15,107
6,19,107,15,122
6,13,122,10,132
7,2,0,19,19
7,6,19,18,37
7,0,37,16,53
7,17,53,15,68
7,56,76.0,14,90.0
7,49,90.0,12,102.0
7,1,102.0,11,113.0
7,11,113.0,11,124.0
8,45,0,20,20
8,46,20,17,37
8,9,37,14,51
8,48,58.0,14,72.0
8,4,122.0,13,135.0
8,3,135.0,10,145.0
9,17,0,20,20
9,56,20,20,40
9,28,40,18,58
9,18,58,17,75
9,52,75,17,92
9,15,92,16,108
9,21,108,15,123
9,7,123,14,137
