did,pid,start_time,pro_time,finish_time
0,22,0,13,13
0,26,13,16,29
0,38,29,16,45
0,4,54,14,68
0,44,68,18,86
0,42,86,18,104
0,48,104,18,122
0,16,122,13,135
1,0,35,13,48
1,13,118,10,128
1,19,0,11,11
1,37,48,15,63
1,47,11,12,23
1,50,63,20,83
1,54,83,19,102
1,59,23,12,35
2,10,20,11,31
2,27,0,10,10
2,29,10,10,20
2,36,31,12,43
2,41,43,12,55
2,42,69,16,85
2,43,85,19,104
2,57,55,14,69
3,4,21,15,36
3,12,0,11,11
3,19,11,10,21
3,20,36,18,54
3,23,90,19,109
3,34,109,20,129
3,51,54,18,72
3,53,72,18,90
4,5,0,10,10
4,14,63,20,83
4,24,83,20,103
4,25,10,10,20
4,32,33,15,48
4,35,20,13,33
4,39,103,20,123
4,54,48,15,63
5,0,49,16,65
5,13,0,10,10
5,17,118,19,137
5,30,33,16,49
5,31,21,12,33
5,42,104,14,118
5,54,65,16,81
5,58,10,11,21
6,8,52,18,70
6,13,108,10,118
6,19,21,15,36
6,33,88,20,108
6,40,36,16,52
6,48,0,20,20
6,55,118,15,133
6,56,70,18,88
7,0,81,16,97
7,1,0,11,11
7,2,97,19,116
7,6,63,18,81
7,11,11,11,22
7,17,48,15,63
7,49,22,12,34
7,56,34,14,48
8,3,0,10,10
8,4,41,13,54
8,9,10,14,24
8,45,54,20,74
8,46,24,17,41
8,48,122,14,136
9,7,0,14,14
9,15,29,16,45
9,17,97,20,117
9,18,45,17,62
9,21,14,15,29
9,28,79,18,97
9,52,62,17,79
9,56,117,20,137
