did,pid,start_time,pro_time,finish_time,step,job_id
0,16,0.0,16,16.0,8,10
0,46,16.0,18,34.0,10,28
0,32,34.0,13,47.0,13,37
0,75,47.0,13,60.0,15,38
0,40,60.0,13,73.0,17,50
0,24,73.0,17,90.0,48,0
0,36,90.0,11,101.0,54,14
0,7,101.0,13,114.0,56,27
0,26,114.0,19,133.0,75,92
0,13,133.0,15,148.0,91,85
1,35,0.0,10,10.0,4,73
1,13,10.0,12,22.0,7,47
1,31,22.0,16,38.0,22,77
1,9,38.0,20,58.0,28,58
1,66,58.0,17,75.0,34,30
1,1,75.0,15,90.0,60,76
1,45,90.0,11,101.0,71,91
1,4,101.0,11,112.0,84,72
1,47,112.0,10,122.0,88,84
1,27,122.0,11,133.0,97,29
2,5,0.0,17,17.0,1,64
2,63,17.0,19,36.0,6,45
2,14,36.0,18,54.0,19,53
2,18,54.0,15,69.0,24,31
2,51,69.0,15,84.0,36,32
2,64,84.0,16,100.0,42,11
2,54,100.0,14,114.0,49,79
2,1,114.0,19,133.0,64,44
2,25,133.0,16,149.0,66,86
2,17,149.0,19,168.0,90,23
3,78,0.0,12,12.0,0,24
3,56,12.0,20,32.0,5,51
3,62,32.0,12,44.0,14,15
3,6,44.0,11,55.0,29,57
3,15,55.0,15,70.0,38,21
3,19,70.0,16,86.0,69,8
3,72,86.0,14,100.0,78,17
3,0,100.0,14,114.0,79,67
3,4,114.0,16,130.0,89,42
3,61,130.0,13,143.0,94,69
4,57,0.0,20,20.0,16,59
4,37,20.0,10,30.0,30,22
4,43,30.0,20,50.0,31,98
4,2,50.0,16,66.0,32,65
4,59,66.0,19,85.0,50,54
4,76,85.0,20,105.0,61,35
4,66,105.0,20,125.0,65,13
4,42,125.0,10,135.0,67,48
4,49,135.0,15,150.0,72,33
4,77,150.0,10,160.0,98,89
5,7,0.0,10,10.0,18,1
5,58,10.0,17,27.0,20,62
5,3,27.0,16,43.0,35,43
5,60,43.0,13,56.0,46,80
5,33,56.0,13,69.0,47,36
5,12,69.0,16,85.0,57,93
5,20,85.0,11,96.0,68,9
5,28,96.0,17,113.0,73,49
5,11,113.0,12,125.0,85,46
5,73,125.0,20,145.0,96,60
6,30,0.0,12,12.0,12,97
6,48,12.0,17,29.0,37,6
6,4,29.0,14,43.0,41,74
6,59,43.0,19,62.0,44,40
6,74,62.0,13,75.0,53,12
6,22,75.0,20,95.0,58,55
6,34,95.0,16,111.0,59,34
6,38,111.0,15,126.0,63,2
6,5,126.0,13,139.0,70,52
6,20,139.0,15,154.0,81,20
7,21,0.0,18,18.0,2,83
7,10,18.0,12,30.0,27,81
7,55,30.0,15,45.0,39,26
7,13,45.0,20,65.0,40,87
7,20,65.0,12,77.0,51,75
7,41,77.0,20,97.0,55,39
7,43,97.0,13,110.0,74,68
7,37,110.0,19,129.0,76,5
7,79,129.0,14,143.0,93,25
8,53,0.0,20,20.0,3,4
8,70,20.0,19,39.0,9,18
8,71,39.0,10,49.0,23,41
8,34,49.0,11,60.0,33,70
8,43,60.0,14,74.0,52,7
8,68,74.0,12,86.0,77,88
8,52,86.0,20,106.0,80,16
8,50,106.0,18,124.0,82,56
8,23,124.0,20,144.0,86,94
8,62,144.0,14,158.0,87,63
9,69,0.0,10,10.0,11,66
9,59,10.0,16,26.0,21,78
9,1,26.0,12,38.0,25,61
9,65,38.0,17,55.0,26,19
9,39,55.0,11,66.0,43,95
9,8,66.0,10,76.0,45,71
9,62,76.0,14,90.0,62,82
9,44,90.0,16,106.0,83,90
9,67,106.0,16,122.0,92,96
9,29,122.0,16,138.0,95,3
