did,pid,start_time,pro_time,finish_time
0,48,14.0,18,32.0
0,42,96.0,18,114.0
0,4,114.0,14,128.0
0,26,128.0,16,144.0
0,44,144.0,18,162.0
0,38,162.0,16,178.0
0,22,178.0,13,191.0
0,16,191.0,13,204.0
1,19,10.0,11,21.0
1,0,21.0,13,34.0
1,54,96.0,19,115.0
1,13,115.0,10,125.0
1,47,125.0,12,137.0
1,37,137.0,15,152.0
1,50,152.0,20,172.0
1,59,172.0,12,184.0
2,42,80.0,16,96.0
2,29,96.0,10,106.0
2,41,106.0,12,118.0
2,36,118.0,12,130.0
2,27,130.0,10,140.0
2,10,140.0,11,151.0
2,57,151.0,14,165.0
2,43,165.0,19,184.0
3,19,0,10,10
3,4,128.0,15,143.0
3,53,143.0,18,161.0
3,51,161.0,18,179.0
3,34,179.0,20,199.0
3,23,199.0,19,218.0
3,12,218.0,11,229.0
3,20,229.0,18,247.0
4,54,0,15,15
4,5,15,10,25
4,32,25,15,40
4,35,40,13,53
4,24,53,20,73
4,14,73,20,93
4,25,93,10,103
4,39,103,20,123
5,17,29.0,19,48.0
5,0,50.0,16,66.0
5,42,66.0,14,80.0
5,54,80.0,16,96.0
5,13,135.0,10,145.0
5,31,145.0,12,157.0
5,30,157.0,16,173.0
5,58,173.0,11,184.0
6,48,32.0,20,52.0
6,56,52.0,18,70.0
6,19,70.0,15,85.0
6,13,125.0,10,135.0
6,33,135.0,20,155.0
6,8,155.0,18,173.0
6,55,173.0,15,188.0
6,40,188.0,16,204.0
7,56,0,14,14
7,17,14,15,29
7,0,34.0,16,50.0
7,2,50.0,19,69.0
7,49,69.0,12,81.0
7,11,81.0,11,92.0
7,1,92.0,11,103.0
7,6,103.0,18,121.0
8,48,0,14,14
8,4,14,13,27
8,45,27,20,47
8,3,47,10,57
8,46,57,17,74
8,9,74,14,88
9,56,70.0,20,90.0
9,17,90.0,20,110.0
9,28,110.0,18,128.0
9,18,128.0,17,145.0
9,21,145.0,15,160.0
9,15,160.0,16,176.0
9,7,176.0,14,190.0
9,52,190.0,17,207.0
