pid,did,pro_time
462,9,7
462,14,5
462,5,6
376,14,5
376,11,5
376,18,8
253,3,10
253,14,8
253,16,7
537,7,7
537,14,5
537,13,9
332,0,8
332,11,5
332,16,7
406,8,8
406,18,10
406,10,10
263,10,7
263,0,9
263,17,10
524,5,7
524,18,7
524,11,9
535,7,9
535,9,9
535,13,8
141,16,6
141,4,5
141,5,10
586,6,9
586,15,5
586,7,7
225,6,8
225,1,6
225,19,6
24,13,8
24,6,10
24,17,7
557,12,7
557,19,5
557,16,5
514,0,7
514,13,5
514,3,8
82,7,8
82,15,9
82,14,5
378,19,10
378,12,9
378,9,7
457,13,5
457,3,10
457,17,9
510,12,9
510,11,9
510,10,10
93,8,10
93,6,7
93,11,7
316,19,10
316,12,6
316,5,10
57,3,7
57,4,6
57,0,5
15,19,7
15,15,6
15,3,9
86,14,9
86,19,5
86,17,8
355,4,7
355,11,8
355,7,7
172,5,5
172,13,7
172,15,6
60,14,7
60,17,7
60,19,6
410,11,10
410,3,8
410,13,7
190,2,7
190,17,9
190,13,7
170,13,7
170,9,8
170,11,10
186,2,8
186,4,6
186,19,5
210,8,7
210,2,10
210,16,6
481,17,10
481,13,10
481,4,10
171,6,5
171,7,8
171,4,7
571,18,7
571,19,10
571,12,6
119,5,7
119,16,8
119,10,8
499,3,6
499,8,10
499,18,6
421,10,7
421,18,7
421,14,8
548,1,7
548,16,9
548,2,5
450,16,7
450,0,7
450,2,5
31,15,7
31,0,9
31,5,9
342,14,9
342,8,9
342,9,7
569,4,6
569,18,9
569,13,8
294,5,7
294,4,5
294,14,7
162,15,6
162,9,5
162,2,7
589,3,10
589,15,9
589,2,9
347,5,9
347,11,7
347,15,5
356,16,5
356,6,9
356,5,10
391,4,9
391,6,6
391,13,9
64,9,10
64,5,7
64,3,9
552,8,8
552,5,9
552,9,9
245,19,7
245,15,10
245,13,6
429,7,9
429,19,5
429,15,10
194,14,10
194,11,9
194,9,9
403,7,10
403,3,6
403,13,8
14,19,10
14,5,7
38,14,7
38,8,5
138,6,8
138,16,6
293,8,8
293,16,8
479,16,10
479,3,9
0,18,8
1,3,6
2,12,7
3,14,6
4,19,7
5,2,10
6,17,5
7,1,5
8,7,5
9,3,9
10,7,10
11,3,10
12,19,8
13,11,6
16,3,7
17,14,9
18,3,6
19,7,6
20,16,10
21,7,8
22,10,9
23,0,5
25,13,8
26,8,7
27,7,10
28,11,5
29,7,7
30,11,5
32,8,5
33,17,7
34,15,9
35,2,7
36,17,9
37,1,7
39,2,9
40,9,8
41,10,6
42,0,9
43,9,8
44,15,9
45,12,8
46,1,6
47,10,5
48,1,9
49,14,8
50,15,5
51,1,9
52,6,9
53,0,10
54,3,10
55,4,8
56,5,7
58,16,5
59,2,5
61,6,8
62,12,7
63,15,8
65,10,10
66,1,7
67,8,6
68,16,6
69,14,5
70,6,10
71,4,5
72,12,8
73,2,6
74,0,8
75,18,7
76,11,7
77,14,9
78,19,9
79,6,8
80,17,10
81,7,5
83,13,9
84,6,9
85,9,9
87,2,9
88,6,8
89,3,6
90,12,9
91,11,8
92,5,10
94,4,9
95,12,10
96,0,9
97,1,5
98,8,8
99,11,6
100,17,5
101,3,7
102,1,9
103,18,9
104,19,6
105,2,9
106,12,6
107,13,9
108,7,6
109,12,10
110,4,7
111,3,8
112,2,8
113,14,10
114,7,7
115,14,10
