pid,did,pro_time
40,3,15
40,2,8
40,5,10
51,5,10
51,2,8
51,1,12
139,3,15
139,1,12
139,4,16
197,0,8
197,2,8
197,4,16
170,3,15
170,1,12
170,0,8
82,5,10
82,2,8
82,1,12
183,0,8
183,3,15
183,4,16
46,1,12
46,0,8
46,2,8
70,4,16
70,2,8
70,1,12
100,3,15
100,5,10
100,2,8
179,1,12
179,5,10
179,3,15
83,1,12
83,3,15
83,5,10
28,1,12
28,2,8
16,2,8
16,3,15
2,1,12
2,0,8
149,5,10
149,2,8
121,0,8
121,2,8
114,2,8
114,0,8
192,3,15
192,5,10
134,4,16
134,1,12
0,5,10
1,2,8
3,3,15
4,4,16
5,5,10
6,4,16
7,3,15
8,0,8
9,5,10
10,2,8
11,4,16
12,0,8
13,1,12
14,5,10
15,3,15
17,2,8
18,5,10
19,1,12
20,1,12
21,5,10
22,1,12
23,5,10
24,4,16
25,5,10
26,4,16
27,1,12
29,2,8
30,3,15
31,4,16
32,5,10
33,5,10
34,3,15
35,2,8
36,3,15
37,2,8
38,4,16
39,3,15
41,1,12
42,0,8
43,5,10
44,0,8
45,2,8
47,2,8
48,2,8
49,3,15
50,4,16
52,0,8
53,4,16
54,4,16
55,4,16
56,1,12
57,1,12
58,2,8
59,0,8
60,0,8
61,5,10
62,4,16
63,1,12
64,2,8
65,2,8
66,0,8
67,0,8
68,1,12
69,0,8
71,1,12
72,5,10
73,4,16
74,5,10
75,2,8
76,4,16
77,2,8
78,3,15
79,1,12
80,0,8
81,5,10
84,5,10
85,5,10
86,2,8
87,1,12
88,2,8
89,0,8
90,1,12
91,3,15
92,0,8
93,2,8
94,5,10
95,0,8
96,1,12
97,0,8
98,3,15
99,2,8
101,0,8
102,1,12
103,2,8
104,3,15
105,4,16
106,4,16
107,5,10
108,4,16
109,2,8
110,5,10
111,1,12
112,5,10
113,1,12
115,1,12
116,4,16
117,4,16
118,2,8
119,1,12
120,1,12
122,1,12
123,1,12
124,0,8
125,0,8
126,4,16
127,5,10
128,0,8
129,1,12
130,0,8
131,0,8
132,3,15
133,2,8
135,2,8
136,4,16
137,4,16
138,0,8
140,3,15
141,4,16
142,1,12
143,3,15
144,1,12
145,0,8
146,5,10
147,5,10
148,0,8
150,5,10
151,4,16
152,5,10
153,3,15
154,0,8
155,3,15
156,0,8
157,1,12
158,3,15
159,2,8
160,4,16
161,2,8
162,4,16
163,4,16
164,3,15
165,1,12
166,0,8
167,0,8
168,0,8
169,3,15
171,4,16
172,0,8
173,3,15
174,2,8
175,4,16
176,3,15
177,5,10
178,2,8
180,0,8
181,0,8
182,5,10
184,4,16
185,5,10
186,5,10
187,4,16
188,4,16
189,5,10
190,4,16
191,3,15
193,4,16
194,3,15
195,3,15
196,3,15
198,3,15
199,3,15
