p_idle,d_idle,total_idle_time,d_total_time
7283.0,51.0,7334,7884.0
7748.0,85.0,7833,7918.0
8570.0,57.0,8627,7890.0
6004.0,83.0,6087,7916.0
6888.0,39.0,6927,7872.0
8574.0,22.0,8596,7855.0
6804.0,43.0,6847,7876.0
6156.0,60.0,6216,7893.0
6947.0,44.0,6991,7877.0
7706.0,77.0,7783,7910.0
6672.0,58.0,6730,7891.0
7011.0,64.0,7075,7897.0
8022.0,62.0,8084,7895.0
6871.0,72.0,6943,7905.0
9010.0,57.0,9067,7890.0
5769.0,80.0,5849,7913.0
5983.0,78.0,6061,7911.0
6187.0,97.0,6284,7930.0
8793.0,49.0,8842,7882.0
6935.0,84.0,7019,7917.0
6566.0,86.0,6652,7919.0
7971.0,73.0,8044,7906.0
7443.0,66.0,7509,7899.0
6156.0,58.0,6214,7891.0
6548.0,75.0,6623,7908.0
6914.0,47.0,6961,7880.0
6829.0,55.0,6884,7888.0
8609.0,53.0,8662,7886.0
6658.0,78.0,6736,7911.0
7280.0,55.0,7335,7888.0
8107.0,103.0,8210,7936.0
7820.0,69.0,7889,7902.0
7078.0,28.0,7106,7861.0
7847.0,60.0,7907,7893.0
6062.0,103.0,6165,7936.0
7818.0,56.0,7874,7889.0
7450.0,75.0,7525,7908.0
7393.0,51.0,7444,7884.0
8595.0,25.0,8620,7858.0
6590.0,67.0,6657,7900.0
7523.0,54.0,7577,7887.0
6466.0,47.0,6513,7880.0
6919.0,70.0,6989,7903.0
7580.0,63.0,7643,7896.0
7094.0,113.0,7207,7946.0
8203.0,67.0,8270,7900.0
7320.0,52.0,7372,7885.0
7843.0,52.0,7895,7885.0
7519.0,70.0,7589,7903.0
6551.0,39.0,6590,7872.0
6529.0,63.0,6592,7896.0
7422.0,66.0,7488,7899.0
7385.0,81.0,7466,7914.0
6202.0,55.0,6257,7888.0
6568.0,99.0,6667,7932.0
6979.0,50.0,7029,7883.0
6868.0,64.0,6932,7897.0
6367.0,54.0,6421,7887.0
7351.0,85.0,7436,7918.0
6177.0,101.0,6278,7934.0
7248.0,61.0,7309,7894.0
7719.0,52.0,7771,7885.0
7078.0,81.0,7159,7914.0
6219.0,86.0,6305,7919.0
7531.0,40.0,7571,7873.0
7151.0,60.0,7211,7893.0
5753.0,46.0,5799,7879.0
8252.0,78.0,8330,7911.0
6422.0,34.0,6456,7867.0
6610.0,99.0,6709,7932.0
6653.0,78.0,6731,7911.0
7228.0,85.0,7313,7918.0
6542.0,76.0,6618,7909.0
7655.0,69.0,7724,7902.0
6401.0,70.0,6471,7903.0
6275.0,37.0,6312,7870.0
7047.0,83.0,7130,7916.0
7066.0,51.0,7117,7884.0
7467.0,67.0,7534,7900.0
6146.0,60.0,6206,7893.0
6812.0,86.0,6898,7919.0
7058.0,76.0,7134,7909.0
6947.0,49.0,6996,7882.0
7582.0,62.0,7644,7895.0
6171.0,76.0,6247,7909.0
6935.0,69.0,7004,7902.0
7365.0,94.0,7459,7927.0
7160.0,68.0,7228,7901.0
6825.0,64.0,6889,7897.0
7805.0,51.0,7856,7884.0
6801.0,72.0,6873,7905.0
5943.0,54.0,5997,7887.0
6797.0,61.0,6858,7894.0
6842.0,69.0,6911,7902.0
5344.0,68.0,5412,7901.0
6446.0,72.0,6518,7905.0
6948.0,97.0,7045,7930.0
7830.0,51.0,7881,7884.0
7443.0,111.0,7554,7944.0
8104.0,97.0,8201,7930.0
