p_idle,d_idle,total_idle_time,d_total_time
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2420,12,2432,4049
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
2431,13,2444,4050
