p_idle,d_idle,total_idle_time,d_total_time
3234.0,11.0,3245,2640.0
3543.0,8.0,3551,2637.0
3636.0,12.0,3648,2641.0
3679.0,13.0,3692,2642.0
3523.0,11.0,3534,2640.0
3778.0,5.0,3783,2634.0
3272.0,6.0,3278,2635.0
3367.0,8.0,3375,2637.0
3664.0,13.0,3677,2642.0
3280.0,6.0,3286,2635.0
3500.0,7.0,3507,2636.0
3242.0,10.0,3252,2639.0
3453.0,7.0,3460,2636.0
3800.0,2.0,3802,2631.0
3403.0,10.0,3413,2639.0
3016.0,16.0,3032,2645.0
3518.0,18.0,3536,2647.0
3560.0,12.0,3572,2641.0
3814.0,12.0,3826,2641.0
3784.0,22.0,3806,2651.0
3354.0,19.0,3373,2648.0
3334.0,4.0,3338,2633.0
3279.0,20.0,3299,2649.0
2997.0,21.0,3018,2650.0
3530.0,8.0,3538,2637.0
3643.0,15.0,3658,2644.0
3362.0,7.0,3369,2636.0
3698.0,16.0,3714,2645.0
3454.0,2.0,3456,2631.0
3326.0,13.0,3339,2642.0
2969.0,18.0,2987,2647.0
3481.0,24.0,3505,2653.0
3631.0,4.0,3635,2633.0
3509.0,4.0,3513,2633.0
3451.0,7.0,3458,2636.0
3946.0,10.0,3956,2639.0
3494.0,4.0,3498,2633.0
3310.0,5.0,3315,2634.0
3458.0,26.0,3484,2655.0
3480.0,13.0,3493,2642.0
3161.0,20.0,3181,2649.0
3707.0,9.0,3716,2638.0
3493.0,9.0,3502,2638.0
3966.0,8.0,3974,2637.0
3521.0,5.0,3526,2634.0
3782.0,8.0,3790,2637.0
3564.0,17.0,3581,2646.0
3050.0,7.0,3057,2636.0
3946.0,9.0,3955,2638.0
3324.0,5.0,3329,2634.0
3624.0,9.0,3633,2638.0
3477.0,13.0,3490,2642.0
3491.0,12.0,3503,2641.0
3416.0,11.0,3427,2640.0
3385.0,14.0,3399,2643.0
3614.0,13.0,3627,2642.0
3800.0,16.0,3816,2645.0
4022.0,13.0,4035,2642.0
3883.0,11.0,3894,2640.0
3663.0,17.0,3680,2646.0
3080.0,24.0,3104,2653.0
3748.0,12.0,3760,2641.0
3281.0,11.0,3292,2640.0
3729.0,5.0,3734,2634.0
3659.0,5.0,3664,2634.0
3717.0,16.0,3733,2645.0
3453.0,6.0,3459,2635.0
3763.0,20.0,3783,2649.0
3896.0,4.0,3900,2633.0
3772.0,20.0,3792,2649.0
3031.0,12.0,3043,2641.0
3904.0,14.0,3918,2643.0
3751.0,11.0,3762,2640.0
3583.0,18.0,3601,2647.0
3294.0,10.0,3304,2639.0
3327.0,6.0,3333,2635.0
3285.0,5.0,3290,2634.0
3282.0,13.0,3295,2642.0
3519.0,9.0,3528,2638.0
4003.0,15.0,4018,2644.0
3621.0,14.0,3635,2643.0
3259.0,6.0,3265,2635.0
3685.0,7.0,3692,2636.0
3306.0,6.0,3312,2635.0
3443.0,5.0,3448,2634.0
3574.0,13.0,3587,2642.0
3466.0,11.0,3477,2640.0
3353.0,18.0,3371,2647.0
3332.0,7.0,3339,2636.0
3395.0,8.0,3403,2637.0
3794.0,13.0,3807,2642.0
3609.0,4.0,3613,2633.0
3240.0,16.0,3256,2645.0
3542.0,9.0,3551,2638.0
3379.0,5.0,3384,2634.0
3806.0,0.0,3806,2629.0
3190.0,8.0,3198,2637.0
3393.0,9.0,3402,2638.0
3659.0,13.0,3672,2642.0
3290.0,6.0,3296,2635.0
