p_idle,d_idle,total_idle_time,d_total_time
1290.0,21.0,1311,1331.0
1426.0,36.0,1462,1346.0
871.0,13.0,884,1323.0
786.0,18.0,804,1328.0
770.0,19.0,789,1329.0
1041.0,5.0,1046,1315.0
1615.0,17.0,1632,1327.0
1096.0,6.0,1102,1316.0
880.0,19.0,899,1329.0
921.0,21.0,942,1331.0
942.0,30.0,972,1340.0
1015.0,45.0,1060,1355.0
1284.0,17.0,1301,1327.0
1074.0,11.0,1085,1321.0
872.0,21.0,893,1331.0
639.0,44.0,683,1354.0
719.0,21.0,740,1331.0
1220.0,25.0,1245,1335.0
690.0,25.0,715,1335.0
788.0,17.0,805,1327.0
1191.0,16.0,1207,1326.0
863.0,14.0,877,1324.0
848.0,38.0,886,1348.0
380.0,33.0,413,1343.0
1469.0,25.0,1494,1335.0
1174.0,4.0,1178,1314.0
802.0,6.0,808,1316.0
977.0,20.0,997,1330.0
750.0,38.0,788,1348.0
1310.0,24.0,1334,1334.0
1425.0,18.0,1443,1328.0
892.0,5.0,897,1315.0
941.0,13.0,954,1323.0
828.0,11.0,839,1321.0
844.0,9.0,853,1319.0
1061.0,21.0,1082,1331.0
1516.0,7.0,1523,1317.0
844.0,16.0,860,1326.0
1076.0,11.0,1087,1321.0
1107.0,14.0,1121,1324.0
338.0,32.0,370,1342.0
1265.0,19.0,1284,1329.0
870.0,9.0,879,1319.0
1000.0,20.0,1020,1330.0
969.0,18.0,987,1328.0
714.0,32.0,746,1342.0
1076.0,17.0,1093,1327.0
577.0,16.0,593,1326.0
1016.0,27.0,1043,1337.0
1450.0,5.0,1455,1315.0
1332.0,8.0,1340,1318.0
1224.0,15.0,1239,1325.0
957.0,20.0,977,1330.0
688.0,16.0,704,1326.0
925.0,9.0,934,1319.0
674.0,9.0,683,1319.0
1297.0,20.0,1317,1330.0
1079.0,16.0,1095,1326.0
756.0,34.0,790,1344.0
944.0,10.0,954,1320.0
1211.0,12.0,1223,1322.0
1605.0,2.0,1607,1312.0
989.0,19.0,1008,1329.0
556.0,20.0,576,1330.0
1041.0,14.0,1055,1324.0
1104.0,29.0,1133,1339.0
924.0,9.0,933,1319.0
1138.0,30.0,1168,1340.0
1127.0,23.0,1150,1333.0
971.0,18.0,989,1328.0
1032.0,29.0,1061,1339.0
711.0,9.0,720,1319.0
860.0,19.0,879,1329.0
1488.0,21.0,1509,1331.0
1211.0,15.0,1226,1325.0
501.0,21.0,522,1331.0
1287.0,2.0,1289,1312.0
1492.0,15.0,1507,1325.0
594.0,36.0,630,1346.0
1291.0,3.0,1294,1313.0
1274.0,26.0,1300,1336.0
1236.0,19.0,1255,1329.0
841.0,7.0,848,1317.0
746.0,9.0,755,1319.0
1821.0,5.0,1826,1315.0
792.0,19.0,811,1329.0
828.0,14.0,842,1324.0
1147.0,17.0,1164,1327.0
486.0,27.0,513,1337.0
925.0,18.0,943,1328.0
936.0,28.0,964,1338.0
918.0,26.0,944,1336.0
1505.0,16.0,1521,1326.0
1305.0,18.0,1323,1328.0
1215.0,21.0,1236,1331.0
950.0,28.0,978,1338.0
1262.0,19.0,1281,1329.0
1341.0,18.0,1359,1328.0
569.0,14.0,583,1324.0
1178.0,12.0,1190,1322.0
