p_idle,d_idle,total_idle_time,d_total_time
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
219.0,738.0,957.0,2110.0
