p_idle,d_idle,total_idle_time,d_total_time
4627.0,29.0,4656,7862.0
3524.0,60.0,3584,7893.0
3524.0,44.0,3568,7877.0
3742.0,50.0,3792,7883.0
3383.0,39.0,3422,7872.0
4656.0,11.0,4667,7844.0
3804.0,40.0,3844,7873.0
3499.0,56.0,3555,7889.0
3556.0,60.0,3616,7893.0
3199.0,80.0,3279,7913.0
3815.0,39.0,3854,7872.0
4786.0,29.0,4815,7862.0
3570.0,52.0,3622,7885.0
4463.0,27.0,4490,7860.0
3891.0,25.0,3916,7858.0
3550.0,50.0,3600,7883.0
3459.0,23.0,3482,7856.0
3884.0,45.0,3929,7878.0
2924.0,31.0,2955,7864.0
3640.0,41.0,3681,7874.0
2940.0,39.0,2979,7872.0
3871.0,33.0,3904,7866.0
3895.0,41.0,3936,7874.0
3293.0,26.0,3319,7859.0
4392.0,38.0,4430,7871.0
3741.0,45.0,3786,7878.0
3308.0,101.0,3409,7934.0
3395.0,50.0,3445,7883.0
3931.0,38.0,3969,7871.0
3730.0,28.0,3758,7861.0
3490.0,54.0,3544,7887.0
3909.0,28.0,3937,7861.0
3614.0,88.0,3702,7921.0
3882.0,46.0,3928,7879.0
4501.0,26.0,4527,7859.0
3975.0,28.0,4003,7861.0
2622.0,65.0,2687,7898.0
3327.0,21.0,3348,7854.0
3659.0,17.0,3676,7850.0
4486.0,54.0,4540,7887.0
3484.0,24.0,3508,7857.0
3782.0,29.0,3811,7862.0
4078.0,69.0,4147,7902.0
3605.0,41.0,3646,7874.0
4026.0,53.0,4079,7886.0
3373.0,40.0,3413,7873.0
3343.0,53.0,3396,7886.0
2952.0,44.0,2996,7877.0
3860.0,38.0,3898,7871.0
4243.0,75.0,4318,7908.0
4473.0,58.0,4531,7891.0
3616.0,28.0,3644,7861.0
4110.0,57.0,4167,7890.0
3171.0,22.0,3193,7855.0
3772.0,30.0,3802,7863.0
3501.0,25.0,3526,7858.0
3982.0,29.0,4011,7862.0
3970.0,28.0,3998,7861.0
3997.0,49.0,4046,7882.0
3311.0,39.0,3350,7872.0
3143.0,47.0,3190,7880.0
3877.0,27.0,3904,7860.0
3562.0,40.0,3602,7873.0
4214.0,35.0,4249,7868.0
3086.0,43.0,3129,7876.0
4805.0,53.0,4858,7886.0
4148.0,38.0,4186,7871.0
3226.0,72.0,3298,7905.0
3263.0,18.0,3281,7851.0
3700.0,38.0,3738,7871.0
3167.0,30.0,3197,7863.0
3415.0,58.0,3473,7891.0
4243.0,35.0,4278,7868.0
3251.0,55.0,3306,7888.0
3229.0,46.0,3275,7879.0
3827.0,30.0,3857,7863.0
3104.0,42.0,3146,7875.0
3944.0,40.0,3984,7873.0
3874.0,29.0,3903,7862.0
2967.0,51.0,3018,7884.0
3117.0,35.0,3152,7868.0
3896.0,29.0,3925,7862.0
3853.0,26.0,3879,7859.0
3685.0,81.0,3766,7914.0
3175.0,26.0,3201,7859.0
3782.0,58.0,3840,7891.0
3679.0,87.0,3766,7920.0
3397.0,38.0,3435,7871.0
3187.0,55.0,3242,7888.0
3018.0,52.0,3070,7885.0
3383.0,26.0,3409,7859.0
3110.0,53.0,3163,7886.0
3810.0,19.0,3829,7852.0
3738.0,34.0,3772,7867.0
3608.0,27.0,3635,7860.0
3856.0,36.0,3892,7869.0
3551.0,25.0,3576,7858.0
2949.0,76.0,3025,7909.0
4040.0,51.0,4091,7884.0
3120.0,58.0,3178,7891.0
