p_idle,d_idle,total_idle_time,d_total_time
10001.0,9.0,10010,7852.0
10806.0,15.0,10821,7858.0
10233.0,26.0,10259,7869.0
10171.0,28.0,10199,7871.0
10615.0,30.0,10645,7873.0
10582.0,30.0,10612,7873.0
10359.0,25.0,10384,7868.0
10656.0,20.0,10676,7863.0
10123.0,23.0,10146,7866.0
10324.0,30.0,10354,7873.0
10033.0,33.0,10066,7876.0
10710.0,16.0,10726,7859.0
10475.0,25.0,10500,7868.0
10243.0,39.0,10282,7882.0
10268.0,22.0,10290,7865.0
10267.0,27.0,10294,7870.0
10528.0,23.0,10551,7866.0
10142.0,42.0,10184,7885.0
10383.0,21.0,10404,7864.0
10736.0,21.0,10757,7864.0
10577.0,22.0,10599,7865.0
10264.0,28.0,10292,7871.0
10161.0,32.0,10193,7875.0
10411.0,23.0,10434,7866.0
10352.0,12.0,10364,7855.0
10067.0,27.0,10094,7870.0
10515.0,27.0,10542,7870.0
10696.0,23.0,10719,7866.0
10387.0,26.0,10413,7869.0
10861.0,29.0,10890,7872.0
10204.0,22.0,10226,7865.0
10389.0,16.0,10405,7859.0
10392.0,24.0,10416,7867.0
10251.0,17.0,10268,7860.0
10006.0,8.0,10014,7851.0
10111.0,19.0,10130,7862.0
10546.0,17.0,10563,7860.0
10300.0,13.0,10313,7856.0
9874.0,26.0,9900,7869.0
10421.0,20.0,10441,7863.0
10255.0,20.0,10275,7863.0
10465.0,22.0,10487,7865.0
10387.0,17.0,10404,7860.0
10567.0,21.0,10588,7864.0
10740.0,9.0,10749,7852.0
10256.0,12.0,10268,7855.0
10860.0,18.0,10878,7861.0
10349.0,15.0,10364,7858.0
10342.0,26.0,10368,7869.0
10000.0,19.0,10019,7862.0
10372.0,17.0,10389,7860.0
9984.0,14.0,9998,7857.0
10576.0,19.0,10595,7862.0
10103.0,37.0,10140,7880.0
10261.0,13.0,10274,7856.0
9965.0,15.0,9980,7858.0
10280.0,15.0,10295,7858.0
10707.0,17.0,10724,7860.0
9943.0,15.0,9958,7858.0
10541.0,11.0,10552,7854.0
10448.0,18.0,10466,7861.0
10458.0,16.0,10474,7859.0
10333.0,37.0,10370,7880.0
10624.0,16.0,10640,7859.0
10659.0,23.0,10682,7866.0
10854.0,25.0,10879,7868.0
10479.0,14.0,10493,7857.0
10504.0,24.0,10528,7867.0
10092.0,16.0,10108,7859.0
10789.0,13.0,10802,7856.0
10171.0,19.0,10190,7862.0
10127.0,50.0,10177,7893.0
10168.0,21.0,10189,7864.0
10394.0,26.0,10420,7869.0
10394.0,36.0,10430,7879.0
10427.0,23.0,10450,7866.0
10143.0,22.0,10165,7865.0
10712.0,20.0,10732,7863.0
10200.0,36.0,10236,7879.0
10089.0,24.0,10113,7867.0
10972.0,19.0,10991,7862.0
10051.0,35.0,10086,7878.0
10260.0,22.0,10282,7865.0
10662.0,18.0,10680,7861.0
10724.0,19.0,10743,7862.0
10198.0,27.0,10225,7870.0
10223.0,10.0,10233,7853.0
10239.0,23.0,10262,7866.0
10541.0,16.0,10557,7859.0
10363.0,25.0,10388,7868.0
10292.0,29.0,10321,7872.0
10078.0,31.0,10109,7874.0
10671.0,18.0,10689,7861.0
10374.0,26.0,10400,7869.0
10376.0,31.0,10407,7874.0
10319.0,25.0,10344,7868.0
10717.0,19.0,10736,7862.0
10284.0,21.0,10305,7864.0
10797.0,29.0,10826,7872.0
10482.0,11.0,10493,7854.0
