date,Respiratory1_cases1,Total_cases1,Respiratory%1,Respiratory_cases,Total_cases,Respiratory%
2020/1/1,,,,1323,7694,0.171952171
2020/1/2,,,,1202,7801,0.15408281
2020/1/3,,,,1215,7885,0.154090044
2020/1/4,,,,1280,7142,0.179221507
2020/1/5,,,,1315,6052,0.217283543
2020/1/6,,,,1335,9098,0.146735546
2020/1/7,,,,1052,6543,0.160782516
2020/1/8,,,,989,5813,0.170135902
2020/1/9,,,,1170,7414,0.15780955
2020/1/10,,,,1271,8052,0.157848982
2020/1/11,,,,1153,7051,0.163522905
2020/1/12,,,,1104,6050,0.182479339
2020/1/13,,,,1369,9347,0.146464106
2020/1/14,,,,1068,8287,0.128876554
2020/1/15,,,,1188,8373,0.141884629
2020/1/16,,,,1191,7941,0.149981111
2020/1/17,,,,1179,7290,0.161728395
2020/1/18,,,,987,6656,0.14828726
2020/1/19,,,,1036,5516,0.187817259
2020/1/20,,,,1293,8877,0.145657317
2020/1/21,,,,1238,7630,0.16225426
2020/1/22,,,,1361,6726,0.202349093
2020/1/23,,,,1350,5230,0.258126195
2020/1/24,,,,954,2702,0.353071799
2020/1/25,,,,912,2110,0.432227488
2020/1/26,,,,1032,2401,0.429820908
2020/1/27,,,,912,2759,0.330554549
2020/1/28,,,,784,2689,0.2915582
2020/1/29,,,,741,2651,0.279517163
2020/1/30,,,,648,2622,0.247139588
2020/1/31,,,,623,2683,0.232202758
2020/2/1,,,,462,2510,0.184063745
2020/2/2,,,,437,1783,0.245092541
2020/2/3,,,,522,3113,0.167683906
2020/2/4,,,,411,2207,0.186225646
2020/2/5,,,,398,1976,0.201417004
2020/2/6,,,,349,1951,0.178882624
2020/2/7,,,,379,1897,0.199789141
2020/2/8,,,,299,1602,0.186641698
2020/2/9,,,,307,1345,0.228252788
2020/2/10,,,,357,1996,0.178857715
2020/2/11,,,,297,1825,0.162739726
2020/2/12,,,,329,1915,0.171801567
2020/2/13,,,,352,2209,0.159348121
2020/2/14,,,,354,2098,0.168732126
2020/2/15,,,,217,1299,0.167051578
2020/2/16,,,,277,1279,0.21657545
2020/2/17,,,,319,2403,0.132750728
2020/2/18,,,,309,2489,0.124146243
2020/2/19,,,,327,2666,0.122655664
2020/2/20,,,,306,2717,0.112624218
2020/2/21,,,,323,2694,0.119896065
2020/2/22,,,,291,2416,0.12044702
2020/2/23,,,,336,2056,0.163424125
2020/2/24,,,,327,3131,0.104439476
2020/2/25,,,,321,2982,0.107645875
2020/2/26,,,,312,3324,0.093862816
2020/2/27,,,,299,3244,0.09217016
2020/2/28,,,,295,2883,0.102323968
2020/2/29,,,,275,3102,0.088652482
2020/3/1,,,,264,2309,0.11433521
2020/3/2,,,,385,4273,0.090100632
2020/3/3,,,,385,3843,0.100182149
2020/3/4,,,,371,3882,0.095569294
2020/3/5,,,,312,3831,0.081440877
2020/3/6,,,,358,4025,0.088944099
