d_idle_0,sum_d_idle,mean_d_idle,ep
11,11,11.0,0
7,7,7.0,1
28,28,28.0,2
0,0,0.0,3
9,9,9.0,4
0,0,0.0,5
0,0,0.0,6
6,6,6.0,7
12,12,12.0,8
0,0,0.0,9
0,0,0.0,10
0,0,0.0,11
28,28,28.0,12
2,2,2.0,13
6,6,6.0,14
6,6,6.0,15
5,5,5.0,16
8,8,8.0,17
6,6,6.0,18
3,3,3.0,19
0,0,0.0,20
8,8,8.0,21
1,1,1.0,22
7,7,7.0,23
9,9,9.0,24
4,4,4.0,25
0,0,0.0,26
19,19,19.0,27
1,1,1.0,28
6,6,6.0,29
9,9,9.0,30
3,3,3.0,31
3,3,3.0,32
14,14,14.0,33
0,0,0.0,34
6,6,6.0,35
4,4,4.0,36
4,4,4.0,37
3,3,3.0,38
0,0,0.0,39
24,24,24.0,40
0,0,0.0,41
5,5,5.0,42
18,18,18.0,43
6,6,6.0,44
8,8,8.0,45
21,21,21.0,46
9,9,9.0,47
0,0,0.0,48
6,6,6.0,49
0,0,0.0,50
6,6,6.0,51
6,6,6.0,52
4,4,4.0,53
3,3,3.0,54
6,6,6.0,55
1,1,1.0,56
0,0,0.0,57
8,8,8.0,58
0,0,0.0,59
16,16,16.0,60
14,14,14.0,61
0,0,0.0,62
18,18,18.0,63
0,0,0.0,64
5,5,5.0,65
19,19,19.0,66
19,19,19.0,67
0,0,0.0,68
7,7,7.0,69
4,4,4.0,70
0,0,0.0,71
4,4,4.0,72
4,4,4.0,73
3,3,3.0,74
10,10,10.0,75
5,5,5.0,76
2,2,2.0,77
19,19,19.0,78
0,0,0.0,79
3,3,3.0,80
0,0,0.0,81
15,15,15.0,82
3,3,3.0,83
5,5,5.0,84
35,35,35.0,85
43,43,43.0,86
5,5,5.0,87
3,3,3.0,88
5,5,5.0,89
0,0,0.0,90
6,6,6.0,91
3,3,3.0,92
0,0,0.0,93
0,0,0.0,94
14,14,14.0,95
3,3,3.0,96
16,16,16.0,97
3,3,3.0,98
0,0,0.0,99
13,13,13.0,100
4,4,4.0,101
6,6,6.0,102
9,9,9.0,103
3,3,3.0,104
0,0,0.0,105
10,10,10.0,106
0,0,0.0,107
6,6,6.0,108
0,0,0.0,109
0,0,0.0,110
0,0,0.0,111
4,4,4.0,112
13,13,13.0,113
7,7,7.0,114
13,13,13.0,115
0,0,0.0,116
17,17,17.0,117
0,0,0.0,118
9,9,9.0,119
11,11,11.0,120
3,3,3.0,121
20,20,20.0,122
2,2,2.0,123
23,23,23.0,124
5,5,5.0,125
4,4,4.0,126
0,0,0.0,127
4,4,4.0,128
18,18,18.0,129
7,7,7.0,130
3,3,3.0,131
6,6,6.0,132
8,8,8.0,133
4,4,4.0,134
1,1,1.0,135
11,11,11.0,136
18,18,18.0,137
21,21,21.0,138
7,7,7.0,139
0,0,0.0,140
5,5,5.0,141
20,20,20.0,142
9,9,9.0,143
16,16,16.0,144
0,0,0.0,145
15,15,15.0,146
8,8,8.0,147
5,5,5.0,148
6,6,6.0,149
7,7,7.0,150
0,0,0.0,151
1,1,1.0,152
15,15,15.0,153
4,4,4.0,154
0,0,0.0,155
0,0,0.0,156
4,4,4.0,157
0,0,0.0,158
7,7,7.0,159
10,10,10.0,160
7,7,7.0,161
14,14,14.0,162
11,11,11.0,163
3,3,3.0,164
9,9,9.0,165
